original	corrected	count
paşa’nırı	Paşa’nın	1
ankara’mn	Ankara’nın	1
camiin	çarın	1
Times'm	Times'ın	1
Paşa’nm	Paşa’nın	1
Paşa’mn	Paşa’nın	1
Kaptan’m	Kaptan’ın	1
Laııre	Laure	1
Fırka’nm	Fırka’nın	1
götiir	götür	1
Hiisrev	Hüsrev	1
tannan	tanınan	1
tiirlii	türlü	1
Kııvayı	Kuvayı	1
Yakııp	Yakup	1
odıır	odur	1
nıeyanda	meyanda	1
zımnıında	zımnında	1
devanı	devam	1
Hiikümeti’nin	Hükümeti’nin	1
Tiirkçeye	Türkçeye	1
Kııva	Kuva	1
Milliye’mn	Milliye’nin	1
Marıchester	Manchester	1
Hükiimeti’ne	Hükümeti’ne	1
iiltimatonı	ültimatom	1
sııkııt	sukut	1
Boğaz’m	Boğaz’ın	1
Ahmet’m	Ahmet’in	1
söylıi	soylu	1
Osmanlı’nm	Osmanlı’nın	1
yiiklii	yüklü	1
Bursa’nm	Bursa’nın	1
ımüslim	müslim	1
Rurnlar	Rumlar	1
gelişm	gelişim	1
Bıırsa’ya	Bursa’ya	1
Karip	Kamp	1
yiizii	yüzü	1
biitiin	bütün	1
tiirk	Türk	1
dönnıe	dönme	1
giindiir	gündür	1
Times’m	Times’ın	1
Hükiimet’in	Hükumet’in	1
Çavıış’un	Çavuş’un	1
