original	corrected	count
Kurultayinda	Kurultayında	2
gorekli	görekli	2
Riza	Rıza	1
yazik	yazık	1
ayrilarak	ayrılarak	1
tanik	tanık	1
okumasina	okumasına	1
olamayacaktir	olamayacaktır	1
çağinda	çağında	1
Manastir	Manastır	1
yatili	yatılı	1
zamanlarinda	zamanlarında	1
kayitli	kayıtlı	1
kalmitir	kalmıtır	1
sinay	sınay	1
Fransizcasini	Fransızcasını	1
manevralari	manevraları	1
sirasinda	sırasında	1
Savaşinin	Savaşının	1
Istanbul'a	İstanbul'a	1
kumandanlik	kumandanlık	1
larindaki	larındaki	1
yarimadasini	yarımadasını	1
alinışında	alınışında	1
almıştir	almıştır	1
Savaşina	Savaşına	1
katilan	katılan	1
çalşmak	çalmak	1
Kumandanliği’na	Kumandanlığı’na	1
Boğazi’ni	Boğazı’nı	1
yarimadasinin	yarımadasının	1
batisina	batısına	1
kisminda	kısmında	1
Yarimadas’ndaki	Yarımadas’ndakı	1
Ariburnu'nun	Arıburnu'nun	1
Arıadolu'ya	Anadolu'ya	1
hükiimeti	hükümeti	1
Yabancılann	Yabancıların	1
sınırlannda	sınırlarında	1
Kurnandan	Kumandan	1
Kernal'in	Kemal'in	1
Şarn'da	Şam'da	1
istifasini	istifasını	1
bati	batı	1
kuruluşlari	kuruluşları	1
etrafinda	etrafında	1
başlamıştir	başlamıştır	1
ayinda	ayında	1
yilinda	yılında	1
Ünaydin	Ünaydın	1
sifatlarini	sıfatlarını	1
bakalim	bakalım	1
başlangiçta	başlangıçta	1
yilinın	yılının	1
ordularini	ordularını	1
sayica	sayıca	1
ağaçlan	ağaçları	1
Kururnu'nun	Kurumu'nun	1
kariin	karın	1
Sarayinda	Sarayında	1
kurumlarinin	kurumlarının	1
kiymetli	kıymetli	1
simdiden	şimdiden	1
başlamiş	başlamış	1
aydinlatan	aydınlatan	1
yaptiğ	yaptığ	1
kazilar	kazılar	1
çikardiğ	çıkardıg	1
toplanmıştir	toplanmıştır	1
arasina	arasına	1
katildilar	katıldılar	1
çalişmalarinda	çalışmalarında	1
almişlardir	almışlardır	1
sahasinda	sahasında	1
sırasmda	sırasında	1
katilimcilar	katılımcılar	1
yakilan	yakılan	1
mihraptir	mihraptır	1
Asırlik	Asırlık	1
yillara	yıllara	1
inkilabi	inkılabı	1
irki	ırkı	1
ayrilmaya	ayrılmaya	1
yollari	yolları	1
siğdiran	sığdıran	1
mihrabinin	mihrabının	1
kilavuzluğundan	kılavuzluğundan	1
Bati	Batı	1
biraktilar	bıraktılar	1
yayildilar	yayıldılar	1
varliklarinın	varlıklarının	1
vesikalarini	vesikalarını	1
aldilar	aldılar	1
sanatlarinin	sanatlarının	1
Hazırlıklan	Hazırlıkları	1
arasmda	arasında	1
ımesını	mesini	1
Devnmler	Devrimler	1
İstihkarı	İstihkam	1
etinek	etmek	1
Başan	Başarı	1
Başanlı	Başarılı	1
hiyanet	hıyanet	1
istikläl	istiklal	1
asil	asıl	1
kanda	kında	1
kurtarmaktir	kurtarmaktır	1
damarlarindaki	damarlarındaki	1
Olaylann	Olayların	1
Yıllan	Yılları	1
Mayet	Riayet	1
yıllan	yılları	1
biiyükelçisi	büyükelçisi	1
BESER	BEŞER	1
TARIHINE	TARİHİNE	1
Laak	Laik	1
masiainsgaok	masıaınsgaok	1
cok	çok	1
icin	için	1
nas	miş	1
Bumammababi	Bumammababı	1
iktand	ıktand	1
mosalalarimi	mosalalarımı	1
msihpiri	msıhpırı	1
insamereden	inşamereden	1
gedigi	gediği	1
isleri	işleri	1
aln	an	1
zamanlarm	zamanları	1
vakalarin	vakaların	1
hatirlamaga	hatırlamaga	1
cekildigini	çekildiğini	1
baslangicini	başlangıcını	1
larmna	larına	1
cski	çıkı	1
yaçamig	yaçamıg	1
belirdigi	belirdiği	1
narinda	namında	1
Bus	Bu	1
sabasinda	sabasında	1
kagiflasmazi	kağıflasmazı	1
hakktodahi	hakktodahı	1
Bunden	Binden	1
irtialgmid	irtialgmıd	1
kitaplari	kitapları	1
notlari	notları	1
çıkardiğt	çıkardıgt	1
yazist	yazışt	1
isyeleri	üyeleri	1
Meolisinin	Meolısının	1
agarken	açarken	1
degerli	değerli	1
yaline	yalıne	1
saygilarima	saygılarıma	1
Gegen	Geçen	1
iginde	içinde	1
gok	çok	1
görülmügtür	görülmüştür	1
Dig	Dış	1
Sseni	Işen	1
sayassaisa	sayassaısa	1
bagarilmigtir	bağarılmıgtır	1
Seolisin	Seolısın	1
deger	değer	1
yılini	yılını	1
yapmıştir	yapmıştır	1
yazisryla	yazışryla	1
fabrikalan	fabrikaları	1
yardim	yardım	1
igrne	içine	1
aritilmasima	arıtılmasıma	1
bätün	Batum	1
Arkadaglar	Arkadaşlar	1
bagindarligl	bağındarlıgl	1
bagün	bağın	1
alananlarla	Almanlarla	1
beg	beş	1
geger	geçer	1
yal	yıl	1
Ölgülerde	Ölçülerde	1
parasl	parası	1
saglam	sağlam	1
degerini	değerini	1
tutmaktadir	tutmaktadır	1
caktar	caktır	1
ayrilmlya	ayrılmlya	1
bayindirlik	bayındırlık	1
degeri	değeri	1
olmass	olması	1
beklenildigi	beklenildiği	1
kapannigtir	kapannıgtır	1
slyasamiza	slyasamıza	1
Töns	Ton	1
Keclisini	Keçlisini	1
uyanikligl	uyanıklıgl	1
igtir	iştir	1
yardun	yardım	1
galigmakta	çalışmakta	1
Bakanliginin	Bakanlığının	1
kivang	kıvang	1
gengliginin	gençliğinin	1
turla	Tuna	1
bilirin	bilirim	1
ande	nde	1
sanatlaria	sanatlarıa	1
hepainde	hepaınde	1
iglerin	işlerin	1
baginda	başında	1
titredigini	titrediğini	1
genişligi	genişliği	1
igin	için	1
oandan	ondan	1
çaliglimakts	çalıglımakts	1
kamagtirici	kamaştırıcı	1
gimdiden	şimdiden	1
erecegine	ereceğine	1
duygulars	duyguları	1
gäre	çare	1
muaiki	muaıkı	1
ugrunda	uğrunda	1
ayrilmanak	ayrılmanak	1
sasikiai	şaşıkıaı	1
Cumuriyet	Cumurıyet	1
bagl	bağı	1
geçmig	geçmiş	1
Kultür	Kültür	1
igleri	işleri	1
turlu	türlü	1
iglerde	işlerde	1
Ssen	Işen	1
kamamun	kanının	1
taninmig	tanınmış	1
geregi	gereği	1
olmasins	olmasını	1
verilmig	verilmiş	1
säzu	sizi	1
ligl	liğl	1
degerince	değerince	1
verzeaini	verzeaını	1
özlugin	özlügin	1
kargllakli	kargllaklı	1
tutmaktir	tutmaktır	1
türlu	türlü	1
digtu	diğtu	1
böllidir	bollıdır	1
bütun	bütün	1
silählanmdya	silahlanmdya	1
varliklarina	varlıklarına	1
dolaya	dolayı	1
tuten	tüten	1
Cümuriyet	Cumurıyet	1
Hukimeti	Hükımeti	1
sinirlarin	sınırların	1
galigmasina	çalışmasına	1
korunaasinda	korunaasında	1
Adlan	Adları	1
