original	corrected	count
icadidır	icadıdır	3
defadir	defadır	2
Rusya’siz	Rusya’sız	2
karadarı	karadan	1
tarıni	tarım	1
atılınası	atılması	1
Hastalıklan	Hastalıkları	1
reformlan	reformları	1
refonu	reformu	1
Ottornan	Ottoman	1
etınektedir	etmektedir	1
olınasına	olmasına	1
olınuş	olmuş	1
kııllanılan	kullanılan	1
koruyamı	koruyan	1
Abdülınecid	Abdülmecid	1
Paşa'nm	Paşa'nın	1
dışmda	dışında	1
olınadıkları	olmadıkları	1
yoruın	yorum	1
arılamına	anlamına	1
İdarı	İdam	1
Roına	Roma	1
imparatorlıığun	imparatorluğun	1
Biılgar	Bulgar	1
alınaya	almaya	1
Kenıal'in	Kemal'in	1
katılına	katılma	1
hıikuku	hukuku	1
gelıne	gelme	1
yiızyıl	yüzyıl	1
Dolınabahçe	Dolmabahçe	1
insanlann	insanların	1
katınak	katmak	1
Alınanya'nın	Almanya'nın	1
kıirmak	kurmak	1
Alınanım	Almanın	1
olınadı	olmadı	1
donanına	donanma	1
öğretınenler	öğretmenler	1
Müslümanlan	Müslümanları	1
asilli	asıllı	1
adamidir	adamıdır	1
sayilir	sayılır	1
yeri	yeni	1
Osmanli’nin	Osmanlı’nın	1
dişında	dışında	1
çıkardiği	çıkardığı	1
dir	dır	1
akli	aklı	1
toplanmasini	toplanmasını	1
Papalik	Papalık	1
hakki	hakkı	1
ayri	ayrı	1
başbakaniydi	başbakanıydı	1
Ispanyasi’nun	İspanyası’nun	1
Ispanyasi’nın	İspanyası’nın	1
tutulacaği	tutulacağı	1
dilanmasi	dilanması	1
yaklaşımdir	yaklaşımdır	1
Tunçay’in	Tunçay’ın	1
yayimladiğim	yayımladığım	1
kalibidir	kalıbıdır	1
Imparatorluğu	İmparatorluğu	1
yanliştir	yanlıştır	1
muazzamanin	muazzamanın	1
onlarin	onların	1
bunlarin	bunların	1
ngiltere’nin	İngiltere’nin	1
ngiltere	İngiltere	1
Ingiltere’nin	İngiltere’nin	1
olamadi	olamadı	1
kopardi	kopardı	1
Dolayisryla	Dolayısryla	1
vakadir	vakadır	1
yayginidır	yaygınıdır	1
yapamamaktadir	yapamamaktadır	1
burıların	bunların	1
Burılardan	Bunlardan	1
Burılar	Bunlar	1
katılınası	katılması	1
öğrenıneye	öğrenmeye	1
edilınesi	edilmesi	1
bilıneyen	bilmeyen	1
burılar	bunlar	1
başmda	başında	1
Avrupa'mn	Avrupa'nın	1
dünyasmm	dünyasının	1
açılıma	açılma	1
olınaması	olmaması	1
olınadığı	olmadığı	1
büyiik	büyük	1
Alınanya	Almanya	1
Dünyamn	Dünyanın	1
Italya’yi	İtalya’yı	1
oluşturmuşlardir	oluşturmuşlardır	1
baktiğimiz	baktığımız	1
Roma’nin	Roma’nın	1
yaşıyorlardi	yaşıyorlardı	1
Aralarinda	Aralarında	1
çatişmalar	çatışmalar	1
topraklarnni	topraklarını	1
onlari	onları	1
zavalli	zavallı	1
uygarlik	uygarlık	1
Avrupa’yi	Avrupa’yı	1
ağirlikli	ağırlıklı	1
sirf	sırf	1
Ispanya’nin	İspanya’nın	1
kitanin	kıtanın	1
asrin	asrın	1
safhalari	safhaları	1
aklimizdadır	aklımızdadır	1
Ariovistus	Ariovıstus	1
yikilşidan	yıkılşıdan	1
Papa’nin	Papa’nın	1
çıkmiştir	çıkmıştır	1
kita	kıta	1
aslinda	aslında	1
Hiristiyanlik	Hıristiyanlık	1
Iskenderiye’de	İskenderiye’de	1
unvanlarina	unvanlarına	1
Longobartlarin	Longobartların	1
miladî	miladi	1
mirasina	mirasına	1
mirasçidir	mirasçıdır	1
tartişmadan	tartışmadan	1
sinirlarimizdaki	sınırlarımızdaki	1
tartişmayla	tartışmayla	1
bunalimlarla	bunalımlarla	1
kavganin	kavganın	1
kullanmiştik	kullanmıştık	1
Alınanca	Almanca	1
Italya’nin	İtalya’nın	1
odalari	odaları	1
Italya	İtalya	1
olmazdi	olmazdı	1
Bazilarina	Bazılarına	1
Italya’nun	İtalya’nın	1
Italyanlar	İtalyanlar	1
kurumlari	kurumları	1
Avrupa’nin	Avrupa’nın	1
Italya’da	İtalya’da	1
Italyanlarin	İtalyanların	1
sarayina	sarayına	1
yakin	yakın	1
Onlarin	Onların	1
icadidir	icadıdır	1
kitliğindanmış	kıtlığındanmış	1
yanibaşında	yanıbaşında	1
yaraticisidır	yaratıcısıdır	1
yağmalanmiştir	yağmalanmıştır	1
Almanya’nin	Almanya’nın	1
Nasil	Nasıl	1
Birtakim	Birtakım	1
varmiştir	varmıştır	1
Barişı	Barışı	1
barişı	barışı	1
kalmamiştir	kalmamıştır	1
Macaristan’in	Macaristan’ın	1
Hiristiyan	Hıristiyan	1
yapmaktadir	yapmaktadır	1
tarzinda	tarzında	1
safhalarini	safhalarını	1
kralliklardan	krallıklardan	1
Protestanlik	Protestanlık	1
olmamamiza	olmamamıza	1
tekrarlayacaktir	tekrarlayacaktır	1
Antlaşmasi’nda	Antlaşması’nda	1
Muhasarasl’nin	Muhasarasl’nın	1
Vakia	Vakıa	1
Almanya’yi	Almanya’yı	1
arasaniz	arasanız	1
Ingiltere’yi	İngiltere’yi	1
yayilmasi	yayılması	1
kaçınilmaz	kaçınılmaz	1
gruplari	grupları	1
oynamiş	oynamış	1
Rusya’nin	Rusya’nın	1
Avrupa’y1	Avrupa’yı	1
farkli	farklı	1
çikmiştır	çıkmıştır	1
azindan	azından	1
başkadir	başkadır	1
imparatorluklari	imparatorlukları	1
coğrafyasinin	coğrafyasının	1
Rusya’dir	Rusya’dır	1
dişlanmiştir	dışlanmıştır	1
dişlanma	dışlanma	1
Avrupa’siz	Avrupa’sız	1
dişlanmaktadir	dışlanmaktadır	1
