original	corrected	count
Girnata	Gırnata	7
siğinir	sığınır	6
Régime	Regime	4
Istoria	İstorıa	4
bastiğinda	bastığında	3
Müslümandi	Müslümandı	3
ilikiler	ılıkıler	3
Fas’in	Fas’ın	3
kadirgalarda	kadırgalarda	3
kadirgalarinda	kadırgalarında	3
kurtarmalik	kurtarmalık	3
karilari	karıları	3
taşıyacaktir	taşıyacaktır	2
ilikin	ılıkın	2
Arapçanin	Arapçanın	2
muhataptilar	muhataptılar	2
arasnda	arasında	2
soylularin	soyluların	2
çarptirilir	çarptırılır	2
Kralliğr’ndan	Krallığr’ndan	2
Moriskolari	Moriskoları	2
komşularinin	komşularının	2
Müslümanliğa	Müslümanlığa	2
Hacari	Hacarı	2
kisaltilmış	kısaltılmış	2
ağirlandi	ağırlandı	2
ilikisi	ılıkısı	2
bakimini	bakımını	2
Hiristiyanliktan	Hıristiyanlıktan	2
Şarkli	Şarklı	2
siğindiğini	sığındığını	2
Hiristigan	Hıristigan	2
iktidarlarini	iktidarlarını	2
imanin	imanın	2
Sebastian'in	Sebastian'ın	2
Fas’li	Fas’lı	2
sultanindan	sultanından	2
karşılanirlar	karşılanırlar	2
başnaziri	başnazırı	2
yaşadiktan	yaşadıktan	2
amcalari	amcaları	2
kadinıyla	kadınıyla	2
satiliyordu	satılıyordu	2
kalktiğina	kalktığına	2
Faslilar	Faslılar	2
tarikatlari	tarikatları	2
korsanliğa	korsanlığa	2
Sardunyali	Sardunyalı	2
Marsilyallarin	Marsilyalların	2
kargaşanin	kargaşanın	2
takasina	takasına	2
kaynaklanir	kaynaklanır	2
elyazmalarinin	elyazmalarının	2
Cosmographia	Cosmographıa	2
çalşmasidir	çalşmasıdır	2
tarikatlarin	tarikatların	2
limanlarinin	limanlarının	2
karşiliklilik	karşılıklılık	2
rastlanilan	rastlanılan	2
Marsilyalilar	Marsilyalılar	2
kadirgalari	kadırgaları	2
Babialinin	Babıalinin	2
sandiktan	sandıktan	2
kiyafetlere	kıyafetlere	2
Drusi	Drusı	2
filalienne	filalıenne	2
Hamida'nin	Hamida'nın	2
Méditerranée	Mediterranee	2
établissements	etablissements	2
Mémoires	Memoires	2
Philosophical	Philosophıcal	2
EDITIONS	EDİTİONS	1
METINDEN	METİNDEN	1
KITAP	KİTAP	1
haklari	hakları	1
Tanitim	Tanıtım	1
şartiyla	şartıyla	1
çoğaltilamaz	çoğaltılamaz	1
yayimlanamaz	yayımlanamaz	1
MEŞELIK	MEŞELİK	1
Osinanlılara	Osmanlılara	1
aynlmaz	ayrılmaz	1
İslaın'ın	İslam'ın	1
heınen	hemen	1
tir	tır	1
şahi	sahi	1
unvanini	unvanını	1
anilir	anılır	1
kralina	kralına	1
unvani	unvanı	1
Osmanlilarin	Osmanlıların	1
sûfi	sufi	1
Babiali'dir	Babıali'dir	1
kovulmalarindan	kovulmalarından	1
övalyeleri	ovalyeleri	1
Ilerleyen	İlerleyen	1
anlatilan	anlatılan	1
Avrupali	Avrupalı	1
kavrami	kavramı	1
kullanirlar	kullanırlar	1
sinir	sınır	1
kani	kanı	1
Hiristiyanlarin	Hıristiyanların	1
karşısina	karşısına	1
Müslümanliğin	Müslümanlığın	1
islamin	İslamın	1
anlatir	anlatır	1
sifatindan	sıfatından	1
sinirdır	sınırdır	1
çikarlardi	çıkarlardı	1
yazdiğimizda	yazdığımızda	1
Avrupa'yi	Avrupa'yı	1
Abartili	Abartılı	1
yapmasi	yapması	1
dayali	dayalı	1
yakindan	yakından	1
Iin	Un	1
kismi	kısmı	1
yakinlarda	yakınlarda	1
yapilmış	yapılmış	1
dolayisiyla	dolayısıyla	1
çalişmalari	çalışmaları	1
insanlarin	insanların	1
yüzyillk	yüzyıllk	1
kucakliyorum	kucaklıyorum	1
tanikliklara	tanıklıklara	1
çalima	çalıma	1
çalimalari	çalımaları	1
kullanacağim	kullanacağım	1
kullanilmasindan	kullanılmasından	1
eylernleri	eylemleri	1
oldıığunu	olduğunu	1
günürnüz	günümüz	1
yunıuşak	yumuşak	1
ınalları	malları	1
Müslürnanların	Müslümanların	1
