original	corrected	count
Histoncal	Historical	1
Azasmdan	Azasından	1
olınayan	olmayan	1
Nebri	Mebni	1
Arivi	Arıvı	1
yakinlarinda	yakınlarında	1
Yataği	Yatağı	1
Orfani	Örfanı	1
Vardar	Vardır	1
kisimlari	kısımları	1
taşlik	taşlık	1
dağlarini	dağların	1
taşli	taşlı	1
Dağr’nin	Dağr’nın	1
batisindan	batısından	1
Dağlari’ndan	Dağları’ndan	1
aşağısi	aşağısı	1
Politikalan	Politikaları	1
yıllannda	yıllarında	1
Eldeın	Elden	1
Demiryollan	Demiryolları	1
Savaşlan	Savaşları	1
Balkarı	Balkan	1
Ecorıomic	Economic	1
kaynaklannın	kaynaklarının	1
yazdıklan	yazdıkları	1
mektuplan	mektupları	1
yaptıklan	yaptıkları	1
Osınanlılar	Osmanlılar	1
edilınektedir	edilmektedir	1
donanınası	donanması	1
açıklamalan	açıklamaları	1
Donanına	Donanma	1
hazırlamyordu	hazırlanıyordu	1
alnna	alınma	1
Biiyiikelçisi	Büyükelçisi	1
Ordulann	Orduların	1
Sernineri	Semineri	1
ulaşn	ulaşım	1
rnekari	mekanı	1
Genelkıırmay	Genelkurmay	1
kollan	kolları	1
taburlan	taburları	1
kullamlarak	kullanılarak	1
Alamnda	Alanında	1
mevkü	mevkii	1
memurlan	memurları	1
yukandaki	yukarıdaki	1
hatlannın	hatlarının	1
arabalan	arabaları	1
üsteğınen	üsteğmen	1
hatlan	hatları	1
bulduklan	buldukları	1
teşkilatm	teşkilatın	1
Harbi'rıde	Harbi'nde	1
Yayınlanınamış	Yayınlanmamış	1
HARBINDE	HARBİNDE	1
ULA$TIRMA	ULAŞTIRMA	1
FAALIYETLERI	FAALİYETLERİ	1
Yollari	Yolları	1
Haritasidır	Haritasıdır	1
kullanıları	kullanılan	1
araçlan	araçları	1
Arabalann	Arabaların	1
lstanbııl'da	lstanbul'da	1
Bazılan	Bazıları	1
Giirıliiğü	Günlüğü	1
olunınuştu	olunmuştu	1
Topraklannda	Topraklarında	1
HARBI'NDE	HARBİ'NDE	1
Yenikoy	Yeniköy	1
Dayen	Diyen	1
Trosnik	Trosnık	1
Oleigus	Öleigus	1
Angusis	Angusıs	1
SELÂMIK	SELANİK	1
Hattinun	Hattının	1
Selänik	Selanik	1
Nafia	Nafıa	1
Hatti	Hattı	1
Iltisak	İltisak	1
$ubat	Şubat	1
sayınun	sayının	1
DEMIRYOLLARI	DEMİRYOLLARI	1
Demiryollars	Demiryolları	1
toplanınası	toplanması	1
Malzernesi	Malzemesi	1
olduklan	oldukları	1
Savurıması	Savunması	1
İkınal	İkmal	1
alıması	alması	1
ALA	ALİ	1
bakim	bakım	1
sayiları	sayıları	1
zararli	zararlı	1
tamamınun	tamamının	1
hatlara	hatları	1
demiryollari	demiryolları	1
zararl	zararı	1
bağliliklar	bağlılıklar	1
ulaştirmaya	ulaştırmaya	1
nakliyatin	nakliyatın	1
denizyollari	denizyolları	1
Donanınası	Donanması	1
Gündiız	Gündüz	1
sancaklan	sancakları	1
Idari	İdam	1
çevrelen	çevreleri	1
Amold	Arnold	1
Yukanda	Yukarıda	1
bulunmuştıır	bulunmuştur	1
ikrnal	ikmal	1
bataryalars	bataryaları	1
nakliyati	nakliyatı	1
Esaslan	Esasları	1
demik	denk	1
Programlan	Programları	1
Ottomarı	Ottoman	1
Ecorıomy	Economy	1
Samsurı	Samsun	1
Bemard	Bernard	1
Yıllannda	Yıllarında	1
Staınford	Stanford	1
