original	corrected	count
Hatlan	Hatları	1
Agricola'nm	Agricola'nın	1
Afrika'nm	Afrika'nın	1
deviniminin	devriminin	1
Avrupa'nırı	Avrupa'nın	1
Mozart'm	Mozart'ın	1
adlan	adları	1
Sultan'm	Sultan'ın	1
AINDA	ANDA	1
Siileyman'ın	Süleyman'ın	1
larınm	larının	1
Mustafa'nm	Mustafa'nın	1
Süleyman'm	Süleyman'ın	1
Kurtarılınası	Kurtarılması	1
Hıristiyanlığm	Hıristiyanlığın	1
kötüliik	kötülük	1
Wemer	Werner	1
Hıristiyarılığın	Hıristiyanlığın	1
Karl'm	Karl'ın	1
Almanya'nm	Almanya'nın	1
Byron'm	Byron'ın	1
Kuran'm	Kuran'ın	1
Hafız'm	Hafız'ın	1
Allah'm	Allah'ın	1
insanilik	insanlık	1
yapınn	yapının	1
olaylan	olayları	1
Arıtik	Antik	1
Hasan'm	Hasan'ın	1
Savaşı'm	Savaşı'nı	1
Yeneni	Yemen	1
Paşa'mn	Paşa'nın	1
Batı'nm	Batı'nın	1
Yahııdi	Yahudi	1
Tiirkei	Türkei	1
Yolculuğıı	Yolculuğu	1
Kırını	Kırım	1
