original	corrected	count
ilikin	ılıkın	34
Şark’in	Şark’ın	30
Şarkli	Şarklı	28
irkin	ırkın	15
piskoposlari	piskoposları	13
Bizanslilar	Bizanslılar	11
Muazzama’nin	Muazzama’nın	11
papanin	papanın	11
irklarin	ırkların	10
Iustinianus	İustinianus	9
Oyalayici	Oyalayıcı	8
Dalmaçyali	Dalmaçyalı	8
başliklari	başlıkları	8
Sébastiani	Sebastianı	8
ruhbanin	ruhbanın	8
imparatorlarinin	imparatorlarının	8
Photius	Photıus	8
Yildiz’a	Yıldız’a	7
Yildiz’daki	Yıldız’dakı	7
hükümranliği	hükümranlığı	7
çıkiyorlar	çıkıyorlar	7
payitahtin	payitahtın	7
hükümranliğinin	hükümranlığının	7
Iskender’in	İskender’in	7
adlandirilir	adlandırılır	7
adlandiriliyor	adlandırılıyor	7
akaryakit	akaryakıt	7
ruhbani	ruhbanı	7
mezarlari	mezarları	6
Bizansli	Bizanslı	6
irklari	ırkları	6
toprağinin	toprağının	6
dağlarinin	dağlarının	6
nakişli	nakışlı	6
parmaklariyla	parmaklarıyla	6
odalik	odalık	6
Babiâlinin	Babıalinin	6
unvanli	unvanlı	6
Çar’in	Çar’ın	6
sütunlari	sütunları	6
yaygindir	yaygındır	6
kaplidir	kaplıdır	6
damadin	damadın	6
kavasimiz	kavasımız	5
dağlarindaki	dağlarındaki	5
hanedanlarin	hanedanların	5
ilikili	ılıkılı	5
kuşlari	kuşları	5
ilikilerin	ılıkılerin	5
hazirdirlar	hazırdırlar	5
yabanil	yabanıl	5
hayirseverlik	hayırseverlik	5
nakışli	nakışlı	5
araciliğryla	aracılığryla	5
dağitiliyor	dağıtılıyor	5
yabanciya	yabancıya	5
ihtişami	ihtişamı	5
Bat’nin	Bat’nın	5
Hiristiyanlardan	Hıristiyanlardan	5
akintinin	akıntının	5
kayalarin	kayaların	5
sarilir	sarılır	5
Belçikali	Belçikalı	5
haykiran	haykıran	5
durumdadirlar	durumdadırlar	5
fonlari	fonları	5
Ağizli	Ağızlı	5
kanisindayim	kanısındayım	5
soytari	soytarı	5
haykirir	haykırır	5
kayiğa	kayığa	5
ağalari	ağaları	4
hanimefendisi	hanımefendisi	4
hadimağa	hadımağa	4
doğasinin	doğasının	4
ihtişamina	ihtişamına	4
kahramanlarinin	kahramanlarının	4
kartali	kartalı	4
Yildiz’in	Yıldız’ın	4
hükümdardi	hükümdardı	4
elmasli	elmaslı	4
yaşamindan	yaşamından	4
hükümranlik	hükümranlık	4
yapmaksizin	yapmaksızın	4
dşinda	dşında	4
şamfistiği	şamfıstığı	4
dragomani	dragomanı	4
Amerika’yi	Amerika’yı	4
tapinaklar	tapınaklar	4
Başkan’in	Başkan’ın	4
Babiâli’deki	Babıali’deki	4
dragomanin	dragomanın	4
Musa’nin	Musa’nın	4
firlatan	fırlatan	4
bakin!	bakın!	4
payitahtinin	payitahtının	4
Korsikali	Korsikalı	4
Hisari	Hisarı	4
Bizanslilarin	Bizanslıların	4
adamliği	adamlığı	4
siyasasi	siyasası	4
unsurlarindan	unsurlarından	4
dehasinin	dehasının	4
yadigârlari	yadigârları	4
saraylarin	sarayların	4
sularini	sularını	4
manzaralarindan	manzaralarından	4
uygarliğa	uygarlığa	4
tapinaklari	tapınakları	4
Hizır	Hızır	4
parçasina	parçasına	4
Irlandali	İrlandalı	4
neftyaği	neftyağı	4
çınliyor	çınlıyor	4
Karadağlilar	Karadağlılar	4
Firat’a	Fırat’a	4
yaşamlarinin	yaşamlarının	4
komşulari	komşuları	4
Yehova’nin	Yehova’nın	4
piskoposlarindan	piskoposlarından	4
Nectarius	Nectarıus	4
doğasini	doğasını	4
papasi	papası	4
Photius’un	Photıus’un	4
padiahin	padiahın	4
misyonlarinin	misyonlarının	4
yurttaşlarinin	yurttaşlarının	4
hanimlarinin	hanımlarının	4
kadiya	kadıya	4
kissanin	kıssanın	4
kissas	kıssas	4
yaygindır	yaygındır	4
tirmanirken	tırmanırken	4
kalabaliğinin	kalabalığının	4
kinali	kınalı	4
tulumbacilar	tulumbacılar	4
kayiği	kayığı	4
kayiğin	kayığın	4
Nikola’nin	Nikola’nın	4
mezarliklar	mezarlıklar	4
çıkarici	çıkarıcı	4
yanitladi	yanıtladı	4
ağaçlarinin	ağaçlarının	4
ekselanslari!	ekselansları!	4
hamamin	hamamın	4
Kaulbars’in	Kaulbars’ın	4
Kissanin	Kıssanın	3
Dragomanin	Dragomanın	3
soyağaci	soyağacı	3
imzasinin	imzasının	3
faksimili	faksımılı	3
Bağdatli	Bağdatlı	3
kayiklar	kayıklar	3
Yazar’in	Yazar’ın	3
mizahin	mizahın	3
irklarinin	ırklarının	3
şıklari	şıkları	3
yakalandiği	yakalandığı	3
dalgalaniyor	dalgalanıyor	3
çöhretli	çohretli	3
kapilardan	kapılardan	3
şiğinin	sığının	3
imtiyazini	imtiyazını	3
anilarla	anılarla	3
imparatorlarin	imparatorların	3
şanina	şanına	3
Kasim’in	Kasım’ın	3
dağlarina	dağlarına	3
kuralina	kuralına	3
ilikiler	ılıkıler	3
alşılmadik	alşilmadık	3
hükümdarlarina	hükümdarlarına	3
kiyisini	kıyısını	3
alşilmadik	alşilmadık	3
aliniyoruz	alınıyoruz	3
kaplanmiş	kaplanmış	3
kiliçlari	kılıçları	3
sanatçinin	sanatçının	3
şaşırtiyor	şaşırtıyor	3
manzarasini	manzarasını	3
karşıliyor	karşılıyor	3
atasi	atası	3
anisi	anısı	3
çalştiğim	çalştığım	3
rakamlarin	rakamların	3
fotoğrafini	fotoğrafını	3
irkindan	ırkından	3
kirbaci	kırbacı	3
zarflari	zarfları	3
karşılaniyor	karşılanıyor	3
katilirlar	katılırlar	3
okullarini	okullarını	3
kakmali	kakmalı	3
kizarmiş	kızarmış	3
layıktir	layıktır	3
şıkli	şıklı	3
konuklarina	konuklarına	3
alşverişi	alsverişi	3
yapilmasin	yapılmasın	3
siradişı	sıradışı	3
yaşamlari	yaşamları	3
alninin	alnının	3
uzattiği	uzattığı	3
pazarlarina	pazarlarına	3
vardi!	vardı!	3
yalinliği	yalınlığı	3
aldiğimizda	aldığımızda	3
hükümranliğini	hükümranlığını	3
ağzindaki	ağzındaki	3
firlatip	fırlatıp	3
unsurlarina	unsurlarına	3
adayin	adayın	3
hükümranliğinda	hükümranlığında	3
adanmiş	adanmış	3
anilmaya	anılmaya	3
hükümranliğin	hükümranlığın	3
reformlarini	reformlarını	3
donanimlari	donanımları	3
kalktiğinda	kalktığında	3
dalgasinin	dalgasının	3
dağlarindan	dağlarından	3
uyruklarina	uyruklarına	3
yasalarinin	yasalarının	3
Babiâliye	Babıaliye	3
kuşatildiği	kuşatıldığı	3
çağindan	cağından	3
Haçlilarin	Haçlıların	3
toplanmasinda	toplanmasında	3
kaygilar	kaygılar	3
Tanais	Tanaıs	3
Eads’in	Eads’ın	3
kapatilmasina	kapatılmasına	3
Eflâkli	Eflaklı	3
yazgili	yazgılı	3
mezarin	mezarın	3
gökmavisi	gökmavısı	3
kanitlaridir	kanıtlarıdır	3
civarinin	civarının	3
manastirlari	manastırları	3
siniflarinin	sınıflarının	3
kutsallik	kutsallık	3
akintisi	akıntısı	3
hanimefendinin	hanımefendinin	3
yanitlamak	yanıtlamak	3
haykirarak	haykırarak	3
Hazar’in	Hazar’ın	3
rayihasi	râyihası	3
çahis	cahıs	3
çağrilir	çağrılır	3
utandiracak	utandıracak	3
ayrildiğim	ayrıldığım	3
hektarlik	hektarlık	3
akaryakitin	akaryakıtın	3
kapisindaki	kapısındaki	3
arkli	arklı	3
demiryollarinda	demiryollarında	3
taşidiklari	taşıdıkları	3
arabalariyla	arabalarıyla	3
mezarlarinda	mezarlarında	3
Slavonik	Slavonık	3
amaçliyor	amaçlıyor	3
varsayin	varsayın	3
itirazlarina	itirazlarına	3
akrabalarinin	akrabalarının	3
yozlaşmiş	yozlaşmış	3
sokaklarindan	sokaklarından	3
bayılirlar	bayılırlar	3
Bulgar’in	Bulgar’ın	3
bağimsizdir	bağımsızdır	3
Karadağli	Karadağlı	3
Ibraniler	İbraniler	3
Israilli	İsrailli	3
Hiristiyan’dan	Hıristiyan’dan	3
tapinağin	tapınağın	3
şildayan	sıldayan	3
yasaklanmiştir	yasaklanmıştır	3
ağacindan	ağacından	3
inançlarina	inançlarına	3
payitahtinda	payitahtında	3
Eşkenazi	Eşkenazı	3
Yazilar’in	Yazılar’ın	3
yaşamlarini	yaşamlarını	3
yakildiği	yakıldığı	3
fermanina	fermanına	3
piskoposlarin	piskoposların	3
ardili	ardılı	3
Iskenderiye’nin	İskenderiye’nin	3
Nectarius’un	Nectarıus’un	3
yaşamiyla	yaşamıyla	3
Ioannis’in	İoannis’in	3
kalicilik	kalıcılık	3
taniniyordu	tanınıyordu	3
ruhbaninin	ruhbanının	3
Ingilizce’ye	İngilizce’ye	3
tapinma	tapınma	3
manastirlar	manastırlar	3
papaliğa	papalığa	3
Ignatius	Ignatıus	3
kararlidir	kararlıdır	3
yakinliğini	yakınlığını	3
kapilarindan	kapılarından	3
manastirinda	manastırında	3
papazlari	papazları	3
Yunanlarin	Yunanların	3
Tiridatis	Tırıdatıs	3
ihtilafin	ihtilafın	3
Mekitarist	Mekitarıst	3
yazilmi	yazılmı	3
hadimlarin	hadımların	3
tamamlanmasini	tamamlanmasını	3
tuhafliklarindan	tuhaflıklarından	3
önyargilarina	önyargılarına	3
Kavasin	Kavasın	3
kalmi	kalmı	3
şıltili	sıltılı	3
uyandirir	uyandırır	3
alşveriş	alsveriş	3
kahkahalari	kahkahaları	3
oturmaktadir	oturmaktadır	3
havalari	havaları	3
kutlanir	kutlanır	3
Belkis	Belkıs	3
kadi!	kadı!	3
yildizimizin	yıldızımızın	3
anlatacaklarimi	anlatacaklarımı	3
yaklaştiğında	yaklaştığında	3
çağirtir	çağırtır	3
hizmetkârin	hizmetkarın	3
avcinin	avcının	3
haykirır	haykırır	3
mezarliğa	mezarlığa	3
atlinin	atlının	3
fikih	fıkıh	3
âlimin	alimin	3
delikanliya	delikanlıya	3
haremağasinin	haremağasının	3
sikintilarini	sıkıntılarını	3
yatştirmak	yatştırmak	3
Sualtinda	Sualtında	3
anlatisini	anlatısını	3
Atina’nin	Atina’nın	3
ihtişamini	ihtişamını	3
hadimlar	hadımlar	3
kivrilarak	kıvrılarak	3
Marmara’nin	Marmara’nın	3
adalarindan	adalarından	3
Rumelihisari’nin	Rumelihisarı’nın	3
kayiğimizin	kayığımızın	3
kaldirilip	kaldırılıp	3
Şarklidir	Şarklıdır	3
sopadir	sopadır	3
sarimsi	sarımsı	3
mezarliğinin	mezarlığının	3
taşlarinin	taşlarının	3
yangina	yangına	3
masalimsi	masalımsı	3
kiskançliği	kıskançlığı	3
yaptirilmiş	yaptırılmış	3
tartima	tartıma	3
tamamina	tamamına	3
muslinden	müslinden	3
taşınin	tasının	3
kadinlarina	kadınlarına	3
burasidir	burasıdır	3
kutlaniyor	kutlanıyor	3
Slavlarin	Slavların	3
haniminin	hanımının	3
karilari	karıları	3
kocalarini	kocalarını	3
hadimin	hadımın	3
bağliliğinin	bağlılığının	3
kizlariyla	kızlarıyla	3
tamamlanmasindan	tamamlanmasından	3
Ingilizce’de	İngilizce’de	3
Kibris’in	Kıbrıs’ın	3
pervasizca	pervasızca	3
Clementina’nin	Clementina’nın	3
Çağali	Çağalı	2
diplomatin	diplomatın	2
Saltanatlarinin	Saltanatlarının	2
Olasiliklari	Olasılıkları	2
Nüktedanliği	Nüktedanlığı	2
Aşağisi	Aşağısı	2
Kaleydoskopik	Kaleydoskopık	2
Hadimlari	Hadımları	2
Okullarimiz	Okullarımız	2
Istifam	İstifam	2
arabacisi	arabacısı	2
küheylani	küheylanı	2
sayımlarini	sayımlarını	2
Kavasi	Kavası	2
Dragomani	Dragomanı	2
anforasiyla	anforasıyla	2
Kapaliçarşı	Kapalıçarşı	2
sanatiyla	sanatıyla	2
kanallarinin	kanallarının	2
ressamin	ressamın	2
çağrişımlarini	çağrışımlarını	2
Amerikaliya	Amerikalıya	2
Hiristiyanlikla	Hıristiyanlıkla	2
rabitalar	rabıtalar	2
artiriyor	artırıyor	2
çağriştirir	çağrıştırır	2
aydinliğini	aydınlığını	2
doğamizin	doğamızın	2
harikalarinin	harikalarının	2
kapsiyor	kapsıyor	2
barindirdiği	barındırdığı	2
siradağlari	sıradağları	2
buzdağlari	buzdağları	2
anlatisina	anlatışına	2
başkanimiz	başkanımız	2
manzaranin	manzaranın	2
olmasindandir	olmasındandır	2
yapmiştim	yapmıştım	2
selamlaşmanin	selamlaşmanın	2
sicaklikta	sıcaklıkta	2
ağaçlik	ağaçlık	2
manzaralarin	manzaraların	2
onarimi	onarımı	2
iliki	ılıkı	2
yurttaşlarini	yurttaşlarını	2
savaşımizin	savaşımızın	2
kaliciliğina	kalıcılığına	2
umutlarinin	umutlarının	2
Şark'in	Şark'ın	2
istirahatgâhi	istirahatgahı	2
sunağinin	sunağının	2
aşkindir	aşkındır	2
sonbaharin	sonbaharın	2
kizaran	kızaran	2
yakişıksiz	yakışıksız	2
alşkin	alskın	2
ilikilerden	ılıkılerden	2
Haşmetmeaplari	Haşmetmeapları	2
Garp’in	Garp’ın	2
rabitalarin	rabıtaların	2
