original	corrected	count
Anıla	Anla	1
yurtdışma	yurtdışına	1
Rusya'mn	Rusya'nın	1
pıları	pılan	1
maniada	manada	1
bulamı	bulan	1
RUSYA'DAKI	RUSYA'DAKİ	1
ISVEÇ	İSVEÇ	1
iŞGALI	İŞGALİ	1
ynü	yin	1
Kig	Kış	1
Ordugahi	Ordugahı	1
Isvec	İsveç	1
Beşenkovsi	Beşenkovsı	1
Radokovic708	Radokovıc708	1
Ordugäh	Ordugah	1
Golovein	Gölovein	1
LEHISTAN	LEHİSTAN	1
Molyatic	Molyatıc	1
SEREMETEV	ŞEREMETEV	1
glin	gün	1
Bobovie	Bobovıe	1
Kis	Kış	1
Ordugâhi	Ordugahı	1
Lokwitstg	Lokwıtstg	1
Oposniya	Oposnıya	1
Budisi	Budişi	1
Senzari	Senzarı	1
ricati	ricatı	1
taburlarmın	taburların	1
yetişmş	yetişmiş	1
Tann'nın	Tanrı'nın	1
Tann'dan	Tanrı'dan	1
Tann'ya	Tanrı'ya	1
aynldı	ayrıldı	1
hizmetkan	hizmetkarı	1
