original	corrected	count
Iptali	İptali	2
oliışuyordu	oluşuyordu	1
Hanedaninin	Hanedanının	1
bakanliğina	bakanlığına	1
politikacisydi	politikacısydı	1
Topluluklari'nin	Toplulukları'nın	1
Dang	Dans	1
Arsivleri	Arşivleri	1
say1	sayı	1
kapitülasyonlarin	kapitülasyonların	1
kaldirilmasinin	kaldırılmasının	1
Antlaşmalari	Antlaşmaları	1
Bakanliğı	Bakanlığı	1
Dışisleri	Dışişleri	1
Bakanl	Bakanı	1
Antlagmalarn	Antlaşmaları	1
Disleri	Dişleri	1
Bakanliğ	Bakanlığ	1
Antlaşmalarin	Antlaşmaların	1
Bakanliğ’nda	Bakanlığ’nda	1
degil	değil	1
Islam'in	İslam'ın	1
siddetli	şiddetli	1
degildi	değildi	1
ulasabilmemiz	ulaşabilmemiz	1
yansimamaktadr	yansımamaktadr	1
savascilarin	savaşçıların	1
pay1	payı	1
sorunlarinın	sorunlarının	1
bilmiyorlardi	bilmiyorlardı	1
Dağrnda	Dığında	1
haklilik	haklılık	1
sikintilarin	sıkıntıların	1
yaşandiğr	yaşandığr	1
ulaşacaklarini	ulaşacaklarını	1
ulaşılacağini	ulaşılacağını	1
Dağl'ni	Dağl'nı	1
sirinden	şirinden	1
alintidir	alıntıdır	1
ÇINLI	ÇİNLİ	1
HANMIN	HANIMIN	1
iiiin	ıııın	1
Gur	Gür	1
Natunali	Natunalı	1
Atfairs	Atfaırs	1
uns	un	1
irn	iri	1
Masir	Mısır	1
Fianel	Fıanel	1
sicul	sicil	1
aal	ül	1
Şebrimize	Sebrimize	1
Pazan	Pazarı	1
Antlaşmalan	Antlaşmaları	1
Anlattıklan	Anlattıkları	1
Arıkara	Ankara	1
