original	corrected	count
Sarnici	Sarnıcı	3
duvarlarindan	duvarlarından	2
tarafindaysa	tarafındaysa	2
Pangalti	Pangaltı	2
rihtimlari	rıhtımları	2
Topkapi’ya	Topkapı’ya	2
parklarinda	parklarında	2
ÇELIK	ÇELİK	1
DEGIŞEN	DEĞİŞEN	1
BAŞKENTI	BAŞKENTİ	1
SELIM	SELİM	1
DERiNGIL	DERİNGİL	1
yayinlarda	yayınlarda	1
taşidiğı	taşıdığı	1
farkl	farkı	1
yararlanilarak	yararlanılarak	1
tamamladiğim	tamamladığım	1
çalimanın	çalımanın	1
disiplinlerarasi	disiplinlerarası	1
istelerinde	iştelerinde	1
şaşırtiyor	şaşırtıyor	1
konumdadir	konumdadır	1
ayrilmamasi	ayrılmaması	1
mekânlarin	mekanların	1
bakilmaması	bakılmaması	1
okunmasinin	okunmasının	1
Istanbul'un	İstanbul'un	1
yılmda	yılında	1
sağmdaki	sağmdakı	1
açıkliktadır	açıklıktadır	1
sağmda	sağında	1
yanmda	yanında	1
hanlari	hanları	1
Sinan’in	Sinan’ın	1
tasarimi	tasarımı	1
yaptirdiğ1	yaptırdığı	1
Kapaliçarşi	Kapalıçarşı	1
alinişından	alınışından	1
yapılmıştir	yapılmıştır	1
hinterlandi	hinterlandı	1
kirlikti	kırlıktı	1
surlarinın	surlarının	1
rihtimin	rıhtımın	1
azinlikla	azınlıkla	1
Kasimpaşa	Kasımpaşa	1
Findikli'da	Fındıklı'da	1
bağlantiyı	bağlantıyı	1
Galata’sinın	Galata’sının	1
topografyasini	topografyasını	1
Azapkapi'dan	Azapkapı'dan	1
rihtimina	rıhtımına	1
Kaldirim'1	Kaldırım'1	1
olacağinin	olacağının	1
tarafindakilerle	tarafındakilerle	1
Kışlasi	Kışlası	1
rihtimlar	rıhtımlar	1
yapilardi	yapılardı	1
Azapkapi	Azapkapı	1
Surlari’nin	Surları’nın	1
HALIÇ	HALİÇ	1
Bosporion	Boşporıon	1
Irevakli	İrevaklı	1
Imparatorluğu'nun	İmparatorluğu'nun	1
