original	corrected	count
Basmacilar	Basmacılar	26
Anlaşmasi'nin	Anlaşması'nın	13
Basmacilar'a	Basmacılar'a	13
Basmacilar'in	Basmacılar'ın	13
macerasinin	macerasının	10
Nâfiz	Nafiz	9
Ittihadçilar'a	İttihadçılar'a	8
yeraliyor	yeralıyor	8
Livâyü'l	Livayü'l	8
Basmacilik	Basmacılık	8
yazdiklarindan	yazdıklarından	7
macerasini	macerasını	7
Ittihadçilar'1	İttihadçılar'1	7
Kumandanliğr'na	Kumandanlığr'na	7
aldiğl	aldığl	7
Buharalilar	Buharalılar	7
Kâbil'e	Kabil'e	7
Lâkaylar'in	Lakaylar'ın	7
Basmacilar'dan	Basmacılar'dan	7
yazacakti	yazacaktı	6
olmadiğ	olmadıg	6
hanlik	hanlık	6
Buhara'yi	Buhara'yı	6
Basmacilar'1	Basmacılar'1	6
anlattiğl	anlattığl	5
yayinladiğl	yayınladığl	5
Âbideryâ	Abıderya	5
Bâbiâlîyi	Babıaliyi	5
yazdiklarinin	yazdıklarının	5
yayinlayacağim	yayınlayacağım	5
macerasina	macerasına	5
mektuplarinin	mektuplarının	5
Fransizlar'in	Fransızlar'ın	5
ayrildiklari	ayrıldıkları	5
temaslarinin	temaslarının	5
Kurultayi'na	Kurultayı'na	5
hatiralarinin	hatıralarının	5
yazilanlar	yazılanlar	5
hanliklarin	hanlıkların	5
igali	ığalı	5
Afganistan'in	Afganistan'ın	5
Emîri'nin	Emiri'nin	5
yazdiğ	yazdıg	5
Âdemiyyet	Ademiyyet	5
Inan'in	İnan'ın	4
yazacaktir	yazacaktır	4
faciasinin	faciasının	4
başladiğl	başladığl	4
umumîsi	umumisi	4
mezarliğina	mezarlığına	4
kasabasina	kasabasına	4
Manastir'daki	Manastır'dakı	4
Müslümanlar'in	Müslümanlar'ın	4
başlattiğl	başlattığl	4
mektuplarindan	mektuplarından	4
beybabaciğim!	beybabacığım!	4
Anlaşmasi'ni	Anlaşması'nı	4
Humann'in	Humann'ın	4
Tarziter	Tarzıter	4
Aralik'inda	Aralık'ında	4
Umumîsi	Umumisi	4
Genelkurmay'in	Genelkurmay'ın	4
yayinlanmasi	yayınlanması	4
temaslarin	temasların	4
Allahaşkina	Allahaşkına	4
Ittihadçilar'dan	İttihadçılar'dan	4
Kurultay'in	Kurultay'ın	4
yollamiş	yollamış	4
slogani	sloganı	4
noktalandi	noktalandı	4
Yunanlilar'in	Yunanlılar'ın	4
kâhyasi	kâhyası	4
hazirliklarin	hazırlıkların	4
soyadini	soyadını	4
Emîr'in	Emir'in	4
Karahan'in	Karahan'ın	4
Müslimîn	Müslimin	4
kumandanlarindan	kumandanlarından	4
tâmîmine	tamimine	4
âhiresine	ahıresine	4
başlikl	başlıkl	4
basmacilari	basmacıları	4
tuhaftir	tuhaftır	3
veliahdi	veliahdı	3
yazdiklarinda	yazdıklarında	3
kâğitlara	kağıtlara	3
Hanliklari	Hanlıkları	3
Andican'in	Andican'ın	3
ayrintil	ayrıntıl	3
haniminin	hanımının	3
Limani'na	Limanı'na	3
Ittihadçılar'a	İttihadçılar'a	3
Ittihadcilar'a	İttihadçılar'a	3
teşkilâtlari	teşkilatları	3
yeraldiği	yeraldığı	3
Abdülâziz’in	Abdülaziz’in	3
yayinladiklari	yayınladıkları	3
veryansin	veryansın	3
huzursuzluklarin	huzursuzlukların	3
mektuplarina	mektuplarına	3
Mediha'nin	Mediha'nın	3
katilmadi	katılmadı	3
çikartilmasinin	çıkartılmasının	3
Paşa'si	Paşa'sı	3
duyulmasi	duyulması	3
vatandaşlarimiz	vatandaşlarımız	3
ilhamini	ilhamını	3
Harekâti'nda	Harekatı'nda	3
âkibetini	akıbetini	3
baskinindan	baskınından	3
vardiğiniz	vardığınız	3
igaline	ığalıne	3
baskindan	baskından	3
hatirlarina	hatırlarına	3
ilâveten	ilaveten	3
tutulmamasi	tutulmaması	3
mağlûbiyete	mağlubiyete	3
Mahsusa'nin	Mahsusa'nın	3
başlatmayi	başlatmayı	3
varmasindan	varmasından	3
mânâsina	manasına	3
kapağina	kapağına	3
giyabinda	gıyabında	3
Turancilik	Turancılık	3
inanmadiğini	inanmadığını	3
Panislâmist	Panislamist	3
taşimiş	taşımış	3
iddialarin	iddiaların	3
teşkilâtimizi	teşkilatımızı	3
Ocak'inin	Ocak'ının	3
vardi!	vardı!	3
Ukraynali	Ukraynalı	3
Bryant'in	Bryant'ın	3
rüfekasinin	rüfekasının	3
Basmacilar’a	Basmacılar’a	3
Bartinli	Bartınlı	3
erâcif	eracif	3
Umumînin	Umuminin	3
lâzimi	lazımı	3
Gaspirali	Gaspıralı	3
evrakindan	evrakından	3
Mangit	Mangıt	3
vatandaşliğina	vatandaşlığına	3
Hazar'in	Hazar'ın	3
Kâbil'de	Kabil'de	3
Islâm'daki	İslam'dakı	3
Emîri'ne	Emiri'ne	3
Burdalik	Burdalık	3
Lâkaylar’in	Lakaylar’ın	3
çaliştiğl	çalıştığl	3
Ordulari'nin	Orduları'nın	3
Basmnaci	Basmnacı	3
vakiflara	vakıflara	3
Kâfirun'daki	Kâfirun'dakı	3
Afganlilar	Afganlılar	3
Tacikistan'in	Tacikistan'ın	3
kaldiğ	kaldığ	3
Hakk'in	Hakk'ın	3
teşkilâtimiz	teşkilatımız	3
efrâdindan	efradından	3
zâhiren	zahiren	3
Arnavutlar'in	Arnavutlar'ın	3
bacağini	bacağını	3
delâletiyle	delaletiyle	3
payinin	payının	3
hatiralarda	hatıralarda	3
Cedidî	Cedidi	3
Basmaculik	Basmaculık	3
Nizâmi	Nizami	3
kapağin	kapağın	2
siğmiş	sığmış	2
mağlûbiyetle	mağlubiyetle	2
evrakina	evrakına	2
dolandirmadan	dolandırmadan	2
mağlûbiyet	mağlubiyet	2
sahsiyenizin	şahsiyenizin	2
iktidariniza	iktidarınıza	2
noksanlarinizi	noksanlarınızı	2
tatsizlik	tatsızlık	2
saklamiyordu	saklamıyordu	2
çikartilamamiş	çıkartılamamış	2
mağlûbiyetten	mağlubiyetten	2
şartti!	şarttı!	2
karşilaşmak	karşılaşmak	2
ağizlarina	ağızlarına	2
simasi	siması	2
yorumlarin	yorumların	2
bulunamadi!	bulunamadı!	2
vasiflari	vasıfları	2
maceranin	maceranın	2
aldiklarindan	aldıklarından	2
hanimina	hanımına	2
kopyalarini	kopyalarını	2
evrakinin	evrakının	2
ağlarina	ağlarına	2
Boyaciköy	Boyacıköy	2
sabahinda	sabahında	2
Ittihadçilik	İttihadcılık	2
istifasindan	istifasından	2
çikartmayi	çıkartmayı	2
ayrilmalari	ayrılmaları	2
bulunmalarini	bulunmalarını	2
çikabilen	çıkabilen	2
Kosova'nin	Kosova'nın	2
telgrafçinin	telgrafçının	2
daldiklari	daldıkları	2
hocasinin	hocasının	2
kit'alari	kıt'aları	2
yaşit	yaşıt	2
sultandir	sultandır	2
başkaldirmasi	başkaldırması	2
hanedanlarini	hanedanlarını	2
konağini	konağını	2
yaylim	yaylım	2
karanliktadir	karanlıktadır	2
acilarla	acılarla	2
iddiasinin	iddiasının	2
Kibris'1	Kıbrıs'1	2
başarilardan	başarılardan	2
sikintilarin	sıkıntıların	2
iktidarsiz	iktidarsız	2
miralayin	miralayın	2
yazildiğ	yazıldığ	2
yalmz	yalnız	2
âkibetinde	akıbetinde	2
dağitir	dağıtır	2
zâlimenin	zalimenin	2
kullanacakti	kullanacaktı	2
ayliği	aylığı	2
okuyamadim	okuyamadım	2
Kâmil'e	Kamil'e	2
Makedonya'dir	Makedonya'dır	2
şâhânenin	şahanenin	2
teşkilâtlarin	teşkilatların	2
teşkîliyle	teşkiliyle	2
uyandirmay	uyandırmay	2
inkisamdan	inkısamdan	2
Esâsisi'nin	Esasisi'nin	2
zâlimeyi	zalimeyi	2
hâhiş	hahiş	2
etrâfindekiler	etrafındekiler	2
parolasinin	parolasının	2
ikmâlini	ikmalini	2
intisabindan	intisabından	2
lâzimîne	lazimine	2
kurtulacağina	kurtulacağına	2
Nikola'nin	Nikola'nın	2
buluşmalarinin	buluşmalarının	2
dağilmasini	dağılmasını	2
vardiklarini	vardıklarını	2
aldig	aldıg	2
atilmasina	atılmasına	2
kişladan	kışladan	2
açinca	açınca	2
itimadim	itimadım	2
matlabimizin	matlabımızın	2
yikiliş	yıkılış	2
uğradiğimiz	uğradığımız	2
bastirilmasindan	bastırılmasından	2
albayliğa	albaylığa	2
baskilarin	baskıların	2
sikintilarla	sıkıntılarla	2
villasinda	villasında	2
villasi	villası	2
andirir	andırır	2
nişanlilik	nişanlılık	2
hazirlattiği	hazırlattığı	2
elyazisi	elyazısı	2
anlaşildiğ	anlaşıldığ	2
basilmasi	basılması	2
serseriyâne	serseriyane	2
yarbayliğa	yarbaylığa	2
çikti!	çıktı!	2
imzalanmasindan	imzalanmasından	2
vatanimi	vatanımı	2
aldiğ	aldığ	2
yazdiklar	yazdıklar	2
ahlâksiz	ahlaksız	2
Ittihadçılar'dan	İttihadçılar'dan	2
mirlivaliğa	mirlivalığa	2
nikâhinda	nikahında	2
Italyanlar'in	İtalyanlar'ın	2
anlatacakti	anlatacaktı	2
Ihtilâli'nin	İhtilali'nin	2
imzalayabilmesi	imzalayabılmesi	2
imzalandiğini	imzalandığını	2
malûmatinin	malumatının	2
anlatmasi	anlatması	2
munfasila	munfasıla	2
istidadi	istidadı	2
anlatamadim	anlatamadım	2
Mart'in	Mart'ın	2
yeraldi	yeraldı	2
bastirilmasinin	bastırılmasının	2
kumandanliktan	kumandanlıktan	2
yayinladiğ	yayınladığ	2
gözyaşlarini	gözyaşlarını	2
aldiğimizi	aldığımızı	2
umursamazlik	umursamazlık	2
teâlîsine	tealisine	2
localarinin	localarının	2
fetvasi	fetvası	2
hükümdarina	hükümdarına	2
olamayinca	olamayınca	2
silâhl	silahl	2
Turanci	Turancı	2
istifasinin	istifasının	2
ayrildiğ	ayrıldığ	2
kiraladi	kiraladı	2
kazasinin	kazasının	2
