original	corrected	count
Şubat’mda	Şubat’ında	1
müsteşan	müsteşarı	1
Ankara’mn	Ankara’nın	1
zanmmca	zannımca	1
Sultan’m	Sultan’ın	1
Hanım’m	Hanım’ın	1
sayfalan	sayfaları	1
adlannı	adlarını	1
uzmanlan	uzmanları	1
limanlanna	limanlarına	1
dünyasımn	dünyasının	1
subaylan	subayları	1
Hanımsultarı	Hanımsultan	1
Almanlann	Almanların	1
Yaralılann	Yaralıların	1
Ağaçlan	Ağaçları	1
kanşıklık	karışıklık	1
kumandanlanmn	kumandanlarının	1
yansından	yarısından	1
kanştı	karıştı	1
hakkmdaki	hakkındaki	1
Dağlan	Dağları	1
kollanmn	kollarının	1
civanna	civarına	1
Boğazı’mn	Boğazı’nın	1
Allah’m	Allah’ın	1
defasmda	defasında	1
Fırka’mn	Fırka’nın	1
Anlanm	Anlamını	1
sırtlannda	sırtlarında	1
kazanlan	kazanılan	1
Araplan	Arapları	1
yansında	yarısında	1
esnasmda	esnasında	1
yollann	yolların	1
hattımn	hattının	1
kalanlann	kalanların	1
kollannın	kollarının	1
fırkalann	fırkaların	1
etraf|mdaki	etrafındaki	1
gerilem	gemileri	1
yazanm	yazarın	1
Fırkası’nm	Fırkası’nın	1
IRÂDE	İRADE	1
SENIYYE	SENİYYE	1
kilinmiştir	kılınmıştır	1
rahatsizliğina	rahatsızlığına	1
kumandanliktan	kumandanlıktan	1
afviyla	afvıyla	1
hâliyesiyle	haliyesiyle	1
Işbu	İşbu	1
ANNESI	ANNESİ	1
LIYE	LİYE	1
Heyecanli	Heyecanlı	1
îmanli	manlı	1
rûh	rih	1
mâs	miş	1
munu	münü	1
Vicdanlilarin	Vicdanlıların	1
lem'alari	lem'aları	1
taşiran	taşıran	1
aşkinin	aşkının	1
müteâli	mütealı	1
âmâlinin	amalinin	1
karartilmi	karartılmı	1
yükseldigini	yükseldiğini	1
iştiyakiyle	iştiyakıyle	1
sinirnda	sınırnda	1
Hakki’nin	Hakkı’nın	1
şâdettiniz	sadettiniz	1
güzîdenizi	güzidenizi	1
rûhiyenizi	ruhiyenizi	1
kardaşliğinizi	kardaşlığınızı	1
kadirşinasliğinizi	kadirşinaslığınızı	1
vicdânimin	vicdanımın	1
kürsi	kursı	1
muallâsinda	muallasında	1
tesliyetsazi	tesliyetsazı	1
yaşatacağim	yaşatacağım	1
evlâdimın	evlâdımın	1
KMS	KİM	1
teshîr	teşhir	1
Hâmî	Hani	1
necîbâneniz	necibâneniz	1
âcîzelerini	acizelerini	1
mesâînizi	mesainizi	1
münâfikîn	münafıkîn	1
kerîmâneleri	kerimâneleri	1
Nisani'nin	Nişanı'nın	1
teşekkürâtimi	teşekküratımı	1
âlikadr	alıkadr	1
mmtıka	mıntıka	1
Murad’m	Murad’ın	1
mensuplanna	mensuplarına	1
karanm	kararın	1
çıkanp	çıkarıp	1
şartlanm	şartların	1
babalannin	babalarının	1
Umüm	Umum	1
nâmlanniza	namlannıza	1
evldlarnin	evldlarnın	1
äzâsinin	azasının	1
maldir	maldır	1
Ağzimiza	Ağzımıza	1
hassi	hissi	1
ağizlarini	ağızlarını	1
tohumlari	tohumları	1
evlädlarinin	evladlarının	1
muhtacînine	muhtacinine	1
açmadilar	açmadılar	1
yapilmamasinin	yapılmamasının	1
bulunmasiyla	bulunmasıyla	1
atilmayarak	atılmayarak	1
Hau	Hü	1
Aan	An	1
russische	russısche	1
SiPste	Şıpste	1
uger	üçer	1
kazanacaktir	kazanacaktır	1
Arayişlar	Arayışlar	1
durulmasi	durulması	1
farkinin	farkının	1
zimdir	zımdır	1
aoo	ıoo	1
srim	sinin	1
