original	corrected	count
veriliyordıı	veriliyordu	1
SIRBISTAN	SIRBİSTAN	1
KARADAG	KARADAĞ	1
BULGARISTAN	BULGARİSTAN	1
YUNANISTAN	YUNANİSTAN	1
INGILIZ	İNGİLİZ	1
SUDANI	SUDAN	1
sinurlar	sınırlar	1
Antlamasi'ndan	Antlaması'ndan	1
Antlaşmasindan	Antlaşmasından	1
Nis	Niş	1
Süveys	Süveyş	1
IMPARATORLUGU	İMPARATORLUĞU	1
Madain	Madam	1
simurlar	sınırlar	1
emirini	emrini	1
Mektuplan	Mektupları	1
Arıcak	Ancak	1
Midan	Ndan	1
IYE	İYE	1
BÖLGESI	BÖLGESİ	1
Bagdat	Bağdat	1
Kudis	Kudıs	1
denetimialtinday	denetimialtınday	1
imparatorluklarinı	imparatorluklarını	1
ilikiler	ılıkıler	1
vakarını	vakanın	1
Kubrıs	Kıbrıs	1
VILAYET	VİLAYET	1
VILAYETI	VİLAYETİ	1
Akden	Akdem	1
üstiin	üstün	1
heykeltiraş	heykeltıraş	1
Kralliğr'na	Krallığr'na	1
karılandi	karılandı	1
inacı	Naci	1
Krallığı'nm	Krallığı'nın	1
KIYE	KİYE	1
Furat	Fırat	1
Anah	Mali	1
BaGDaT	Bağdat	1
SUUDI	SUUDİ	1
DIVANIYE	DİVANİYE	1
sinurlari	sınırları	1
KufeDivaniye	Küfedivanıye	1
SemaveNasiriye	Semavenasırıye	1
hüküınete	hükümete	1
Arnma	Anna	1
Emest	Ernest	1
Amınan	Amman	1
anlarmakta	anlamakta	1
Suria	Şuna	1
Foreigin	Foreign	1
Malcolın	Malcolm	1
Ahrnad	Ahmad	1
hanedanınn	hanedanının	1
Ayami	Âyan	1
Nansa	Manisa	1
kansı	karısı	1
Comwallis	Cornwallis	1
Eınin	Emin	1
Mehnıed	Mehmed	1
