original	corrected	count
Idris’in	İdris’in	4
Şevkinin	Sevkinin	3
Hanim’di	Hanım’dı	3
siğındik	sığındık	2
taniştim	tanıştım	2
Mandacilar	Mandacılar	2
kapağini	kapağını	2
yakilan	yakılan	2
itiraflari	itirafları	2
Kiliç’in	Kılıç’ın	2
vefatina	vefatına	2
kurulacaği	kurulacağı	2
siiren	süren	2
hazirlanmasini	hazırlanmasını	2
Muğlali	Muğlalı	2
katilmakla	katılmakla	2
idamini	idamını	2
Ayici	Ayıcı	2
Ismail’i	İsmail’i	2
dermiyân	dermiyan	2
Torbalili	Torbalılı	2
büyikelçisi	buyıkelçisi	2
Siğirtmaç	Sığırtmaç	2
Içindekiler	İçindekiler	1
MÜCADELESI	MÜCADELESİ	1
Ittihatçılar	İttihatçılar	1
Kayitsiz	Kayıtsız	1
Paşa’y1	Paşa’yı	1
meydani	meydanı	1
çağrısi	çağrısı	1
komutanliğı	komutanlığı	1
Anlaşmasi’ni	Anlaşması’nı	1
perianliği	perianlığı	1
Kiliç!	Kılıç!	1
Ittihatçilar	İttihatçılar	1
Anlaşmasi’nu	Anlaşması’nu	1
perişanliği	perişanlığı	1
tanıştim	tanıştım	1
Maraşta	Mamıştı	1
kuşatmas	kuşatmış	1
Sil	Sıl	1
gözyaşlarıni	gözyaşlarını	1
baskıni	baskını	1
Siğır	Sığır	1
sandik	sandık	1
kırdi	kırdı	1
tutuklatacakti	tutuklatacaktı	1
CUMHURIYET	CUMHURİYET	1
MLER	MER	1
madalyasi	madalyası	1
boğmuşlardi	boğmuşlardı	1
hizır	hızır	1
cevapsiz	cevapsız	1
Firka’nin	Fırka’nın	1
partimin	partinin	1
inkilapçının	inkılapçının	1
istifalari	istifaları	1
Firka'ya	Fırka'ya	1
fotoğraflarina	fotoğraflarına	1
Ilelebet	İlelebet	1
kizdıran	kızdıran	1
maskaraliklar	maskaralıklar	1
yıldir	yıldır	1
alinıyor!	alınıyor!	1
babakanliktan	babakanlıktan	1
taniyamamı!	tanıyamamı!	1
atlatilan	atlatılan	1
davamdir	davamdır	1
Satic	Satıc	1
MAHKEMELERI	MAHKEMELERİ	1
SUIKASTI	SUİKASTI	1
asilan	asılan	1
vatandaşlarim	vatandaşların	1
intikamimi	intikamını	1
açiklanan	açıklanan	1
çalşırdi	çalşırdı	1
drami	dramı	1
Cezalandırilan	Cezalandırılan	1
yapilyordu	yapılyordu	1
tutuklanışıni	tutuklanışını	1
