original	corrected	count
Firkateynler	Fırkateynler	2
Osnıanlılar	Osmanlılar	1
cesime	çeşme	1
Rusya'nırı	Rusya'nın	1
bataryalari	bataryaları	1
Ates	Ateş	1
Tuccar	Tüccar	1
OsmaultFilosu	Osmaultfılosu	1
navileri	navıleri	1
kitliğiydr	kıtlığıydr	1
Ruslann	Rusların	1
Guria	Guna	1
Kars'in	Kars'ın	1
atanmışti	atanmıştı	1
Daniil	Danııl	1
Aryutinov'a	Aryutınov'a	1
Kirim’daki	Kırım’daki	1
Savaşl’nin	Savaşı’nın	1
yaziminda	yazımında	1
Kirım'daki	Kırım'daki	1
konulardir	konulardır	1
bataryasi	bataryası	1
Buz	Biz	1
Yarimadasi’ndaki	Yarımadası’ndakı	1
Kirim’da	Kırım’da	1
zaptindan	zaptından	1
Kirım’da	Kırım’da	1
olmamişlardi	olmamışlardı	1
Çerkezistan'in	Çerkezistan'ın	1
uzaklaşip	uzaklaşıp	1
Kilburun	Kılburun	1
filolarin	filoların	1
yarısma	yarısına	1
Harcamalan	Harcamaları	1
ınasını	masını	1
kavaimin	kavanin	1
Frarısa	Fransa	1
gelm1emişti	gelmemişti	1
dermek	demek	1
borçlarina	borçlanma	1
Sükiıt	Sukut	1
oumal	ournal	1
enesi	ermesi	1
kampaniya	kampanya	1
mndan	mından	1
joumal	journal	1
Eastem	Eastern	1
gouvemement	Gouvernement	1
Danşman	Danışman	1
