original	corrected	count
Kiziltoprak'taki	Kızıltoprak'takı	5
Kiziltoprak'tan	Kızıltoprak'tan	3
Reşat'in	Reşat'ın	3
protestation	protestatıon	3
Quartier	Quartıer	3
eşyalarin	eşyaların	2
taşındik	taşındık	2
aynali	aynalı	2
yassi	yassı	2
Sirr	Sırr	2
Sirri'nin	Sırrı'nın	2
Bostanci'daki	Bostancı'dakı	2
Bostanci'ya	Bostancı'ya	2
yapilmı	yapılmı	2
konağini	konağını	2
Beşiktaştaki	Beşiktaştakı	2
kitasindaki	kıtasındaki	2
palazi	palazı	2
Padiahin	Padiahın	2
Kiziltoprak'in	Kızıltoprak'ın	2
filigrani	filigranı	2
toparlanip	toparlanıp	2
insufrisants	insufrısants	2
perturbation	perturbatıon	2
kendiai	kendiaı	2
degilair	değilaır	2
igitinoe	ığıtınoe	2
kondini	kondını	2
güselein	guselein	2
Kiziltoprak'a	Kızıltoprak'a	1
orasini	orasını	1
yazihanesine	yazıhanesine	1
Kiziltoprak'ta	Kızıltoprak'ta	1
kitaplarim	kitapların	1
Dayim	Dayım	1
Sırri	Sırrı	1
Sirri	Sırrı	1
Velhasil	Velhasıl	1
Kiziltoprak	Kızıltoprak	1
yaptirmiş	yaptırmış	1
udu	idi	1
taşıyamamiş	taşıyamamış	1
kayinvalidesi	kayınvalidesi	1
yiğili	yığılı	1
bakardik	bakardık	1
eşyalarim	eşyalarım	1
dolabim	dolabım	1
taşindik	taşındık	1
kopmadim	kopmadım	1
eşyalarimi	eşyalarımı	1
kayinvalidem	kayınvalidem	1
dağittik	dağıttık	1
Dayimin	Dayımın	1
kiliçlari	kılıçları	1
dayimin	dayımın	1
yikilincaya	yıkılıncaya	1
dolabimdi	dolabımdı	1
dadanmiş	dadanmış	1
açmişlar	açmışlar	1
çalmişlar	çalmışlar	1
yaptirmişti	yaptırmıştı	1
sakliyordum	saklıyordum	1
yikilacağ1	yıkılacağ1	1
dolabimi	dolabımı	1
Adasi'nda	Adası'nda	1
Izmirli	İzmirli	1
Sarayi'ndaki	Sarayı'ndaki	1
hitânini	hitanını	1
etibba	etıbbâ	1
Tibbiye'de	Tıbbiye'de	1
sudur	şudur	1
Hamami	Hamamı	1
kiraci	kiracı	1
kurtardiktan	kurtardıktan	1
kaplicalarina	kaplıcalarına	1
çıkarttirir	çıkarttırır	1
Hazain	Hazan	1
yayınlan	Yayınları	1
nuail	nail	1
daus	düş	1
comaite	comaıte	1
cervies	çervies	1
faeroise	faeroıse	1
gunmtti	günmtti	1
guvirous	guvırous	1
aup	up	1
hgrie	ligne	1
unge	imge	1
gict	gıçt	1
kuihe	kuıhe	1
semis	şemis	1
