original	corrected	count
Naciyecigim	Naciyeciğim	203
Naciyecigim!	Naciyeciğim!	165
efendicigim	efendiciğim	40
Sahverdi	Şahverdi	28
Räik	Raik	23
inçaallah	incaallah	22
Dinav	Dınav	22
yavrularimla	yavrularımla	20
Puli	Pulı	20
Muhyiddin	Muhyıddın	19
Efendicigim	Efendiciğim	18
Arivi	Arıvı	15
Käbil'e	Kabil'e	15
yazdig	yazdıg	13
Kâmil'e	Kamil'e	13
Kämil'e	Kamil'e	13
efendicigim!	efendiciğim!	12
Käbil'den	Kabil'den	11
Läkaylar'in	Lakaylar'ın	11
Toksabay'in	Toksabay'ın	11
atlandik	atlandık	11
aldig	aldıg	10
yazdiktan	yazdıktan	10
Abdülvähid	Abdülvahid	10
Ibrahim'e	İbrahim'e	10
yollandik	yollandık	9
gideceginden	gideceğinden	9
intizären	intizaren	9
Abdülkaim	Abdülkaım	8
Dinav'a	Dınav'a	8
Mirkalar'in	Mirkalar'ın	8
yazamadim	yazamadım	7
uzandim	uzandım	7
melegim!	meleğim!	7
Afganhlar'in	Afganhlar'ın	7
simalinde	şimalinde	7
yavrularim	yavrularım	7
Abdülhakim	Abdülhakım	7
Agalik	Ağalık	7
karakollarin	karakolların	7
olmadig	olmadıg	6
Arslancigum	Arslancıgum	6
ocagin	ocağın	6
elmasim	elmasım	6
ismarlarum	ısmarlarum	6
Paça'nin	Paça'nın	6
Ismeti	İsmeti	6
Yunanlilar'in	Yunanlılar'ın	6
civarndaki	civarndakı	6
Yavrularmi	Yavrularmı	6
Afganlilar	Afganlılar	6
Baysun'daki	Baysun'dakı	6
Rahti	Rahtı	6
Ibrahim'i	İbrahim'i	6
Esikagass	Eşikagass	5
äfiyetle	afiyetle	5
arslancigum	arslancıgum	5
teçkil	teckil	5
Efendicigim!	Efendiciğim!	5
Cevad'in	Cevad'ın	5
hiçbirseye	hiçbirşeye	5
göndermistim	göndermiştim	5
hodbin	hodbın	5
gönderecegini	göndereceğini	5
gikarttum	gıkarttum	5
vesäireyi	vesaireyi	5
Sâbircan	Sabırcan	5
Basmacilar	Basmacılar	5
Yavrularim	Yavrularım	5
Yavrularimi	Yavrularımı	5
tufekli	tüfekli	5
Häkiyan	Hakiyan	5
Käfirun	Kâfirun	5
yazdiklar	yazdıklar	4
herseyimi	herşeyimi	4
Naciyocigim	Naciyocıgım	4
yazdiklan	yazdıklan	4
iein	ıeın	4
meveudiyetim	meveudıyetim	4
Ciçerin'e	Çiçerin'e	4
çaligacagum	çalıgacagum	4
yavrularmiz	yavrularmız	4
valkit	valkıt	4
arslancigim	arslancıgım	4
müçabih	mücabıh	4
Adamcagiz	Adamcağız	4
Kämil'den	Kamil'den	4
Säbircan	Sabırcan	4
garbina	garbına	4
kägidh	kağıdh	4
Karahan'in	Karahan'ın	4
dolayisyla	dolayısyla	4
adamcagiz	adamcağız	4
illk	ıllk	4
kucaklarim	kucaklarım	4
akrabasindan	akrabasından	4
sardim	sardım	4
ismarlanm	ısmarlanm	4
arzettigim	arzettiğim	4
Kantoroviç'e	Kantorovıç'e	4
geçtigim	geçtiğim	4
vesâire	vesaire	4
alikoymak	alıkoymak	4
muhtacim	muhtacım	4
vesäireden	vesaireden	4
Yunanhlar'in	Yunanhlar'ın	4
kangik	kangık	4
Hakk'in	Hakk'ın	4
simalden	şimalden	4
Tirmiz'e	Tırmız'e	4
Käfirnihan	Kafirnihan	4
Rualar'in	Rualar'ın	4
Fäzaleddin	Fazaleddin	4
Afganlilar'in	Afganlılar'ın	4
Dinav'dan	Dınav'dan	4
Sehrisebz	Şehrisebz	4
yatagima	yatağıma	4
Häkiyan'a	Hakiyan'a	4
Kafirun	Kâfirun	4
sehadetinden	şehadetinden	3
Kurumu'ndadir	Kurumu'ndadır	3
Ikinei	İkinei	3
çikarttum	çıkarttum	3
Nociyecigim	Nocıyecigim	3
fiskiyeden	fıskiyeden	3
âfiyet	afiyet	3
Ozerinde	Özerinde	3
Fransizlar'a	Fransızlar'a	3
yavrularmizs	yavrularmızs	3
alsinlar	alsınlar	3
yavrularimuz	yavrularımuz	3
yavrularmizla	yavrularmızla	3
ayriea	ayrıea	3
Eurasie	Eurasıe	3
Bolgevikler'e	Bölgevikler'e	3
kucaklayip	kucaklayıp	3
dolayistyla	dolayıstyla	3
benligimi	benliğimi	3
smarladim	şmarladım	3
Islâmlar'in	İslamlar'ın	3
kaçmiglar	kaçmıglar	3
yollandim	yollandım	3
çaliçan	çalıçan	3
Afganhilar	Afganhılar	3
yavrularmi	yavrularmı	3
özledigim	özlediğim	3
yagiyorum	yağıyorum	3
namazina	namazına	3
teçvik	tecvik	3
Rakofski	Rakofskı	3
Kantoroviç	Kantorovıç	3
hazurlandim	hazurlandım	3
gidecegimden	gideceğimden	3
Igibil	Iğıbıl	3
Käbil'de	Kabil'de	3
kargik	kargık	3
Naciyocigim!	Naciyocıgım!	3
Afganistan'in	Afganistan'ın	3
Manmafih	Manmafıh	3
Sehbenderi	Şehbenderi	3
ayrldik	ayrldık	3
Halbulki	Halbulkı	3
bildirdigini	bildirdiğini	3
silähtan	silahtan	3
ismarlarm	ısmarlarm	3
sarlmis	şarlmıs	3
vesäiresini	vesairesini	3
gelmediginden	gelmediğinden	3
kägitlar	kağıtlar	3
yaptig	yaptıg	3
yavrularmiza	yavrularmıza	3
gösterdiginden	gösterdiğinden	3
söylediginden	söylediğinden	3
beklemedigim	beklemediğim	3
hazurladim	hazurladım	3
satirlan	satırlan	3
Zannimea	Zannımea	3
äfiyet	afiyet	3
alacakmis	alacakmış	3
etrafindakiler	etrafındakiler	3
hazarladim	hazarladım	3
gitmeyecegimi	gitmeyeceğimi	3
ettigimden	ettiğimden	3
yemegimizi	yemeğimizi	3
tarafiru	tarafıru	3
yazmasina	yazmasına	3
ikci	ikçi	3
buselerimi	büselerimi	3
yazamayacagim	yazamayacağım	3
kahvaltidan	kahvaltıdan	3
yavrularimu	yavrularımu	3
Çonki	Conkı	3
seyahatnâmeyi	seyahatnameyi	3
gönderecegimiz	göndereceğimiz	3
hilekär	hilekar	3
üserine	üşerine	3
verilmedigini	verilmediğini	3
Räik'i	Raik'i	3
buselerimle	büselerimle	3
yazild	yazıld	3
Ibrahimof	İbrahimof	3
topladigum	topladıgum	3
yavrularimi	yavrularımı	3
dolaysiyla	dolaysıyla	3
yavrularimun	yavrularımun	3
Sehrisyab	Şehrisyab	3
