original	corrected	count
Muhamınara	Muhammara	1
Adalan	Adaları	1
ferma	fena	1
avani	avam	1
mürıderic	münderic	1
alaim	alan	1
mezkiir	mezkur	1
duyiin	Düyun	1
usiil	usul	1
Gouvemement	Gouvernement	1
Impenal	Imperial	1
rıazam	mazan	1
anıeliyat	ameliyat	1
Osınaniyye	Osmaniyye	1
Hüküıneti	Hükümeti	1
ngiltere'nin	İngiltere'nin	1
nıasarıf	masarıf	1
memer	mermer	1
hüküınetinin	hükümetinin	1
giina	guna	1
Maliim	Malum	1
mezkiirenin	mezkurenin	1
mezkı1renin	mezkurenin	1
sanisi	şansı	1
mener	mermer	1
Sultanı'nı	Sultan'ın	1
huzuri	hüzün	1
Maktari	Maktan	1
Haima	Hama	1
Hamimi	Hanım	1
Şiira	Şura	1
Duyiin	Düyun	1
mezkı1re	mezkure	1
hazme	hazine	1
uinumiyyesi	umumiyyesi	1
kadrim	kadının	1
sehmini	şehrin	1
usulii	usulü	1
Duyı1n	Düyun	1
Şerme	Sene	1
Kiitiiphanesi	Kütüphanesi	1
Sııııd'ıın	Suud'un	1
usıil	usul	1
giına	guna	1
maliimdur	malumdur	1
bağlılıklannı	bağlılıklarını	1
ciimle	cümle	1
Sadnazam	Sadrıazam	1
meınuru	memuru	1
meınalik	memalik	1
Osınaniyye'den	Osmaniyye'den	1
mezkıirenin	mezkurenin	1
femıanm	fermanın	1
Arnerika'nın	Amerika'nın	1
Aliyye'ınin	Aliyye'nin	1
menifi	menfi	1
makbiil	makbul	1
maliımat	malumat	1
mevziı	mevzu	1
merhiim	merhum	1
memifi	menfi	1
mesiil	mesul	1
gıina	guna	1
sudıir	şudur	1
sadnazam	sadrıazam	1
Osrnaniyye'ye	Osmaniyye'ye	1
imadır	nadir	1
Duyıin	Düyun	1
ınürı	Nuri	1
etıneği	etmeği	1
müsiil	Musul	1
maliimatı	malumatı	1
ineye	neye	1
Kıimi	Kum	1
nüfiiz	nüfuz	1
mirınet	minnet	1
maliımata	malumata	1
usiıl	usul	1
öğrenemi	öğrenen	1
masanf	masarıf	1
ivarı	İvan	1
Şıira	Şura	1
Avustıırya	Avusturya	1
eferi	efen	1
düıman	duman	1
hiikiiıneti	hükümeti	1
Hiirriyet	Hürriyet	1
Kıbns	Kıbrıs	1
Mahsiis	Mahsus	1
Duyiın	Düyun	1
Mısır'm	Mısır'ın	1
duyiın	Düyun	1
usiılü	usulü	1
