original	corrected	count
Yarmadasi'na	Yarmadası'na	3
Osmanhilar	Osmanhılar	2
Adasi'ni	Adası'nı	2
Osmanliordusu	Osmanlıordusu	2
topraidar	topraıdar	1
destegi	desteği	1
kagn	Kasım	1
Misr'a	Mısr'a	1
digindaki	dışındaki	1
Halicölünün	Haliçölünün	1
Ingilziere	İngilziere	1
topraidan	topraıdan	1
ISVICRE	İSVİÇRE	1
alanan	alınan	1
loprakian	loprakıan	1
BELÇIKA	BELÇİKA	1
LIBYA	LİBYA	1
ÖNEMLI	ÖNEMLİ	1
KRONOLOJISI	KRONOLOJİSİ	1
agir	ağır	1
zayiatiyla	zayiatıyla	1
manli	manlı	1
sularna	sulama	1
kasmini	kısmını	1
sininndaki	sininndakı	1
limanlarn	limanları	1
yolaçıkti	yolaçıktı	1
çabaladilar	çabaladılar	1
sinirnna	sınırına	1
Harekâti'ndayenildi	Harekatı'ndayenildi	1
batirdı	batırdı	1
Osmanlh	Osmanlı	1
Bogazi	Boğazı	1
bombalandi	bombalandı	1
Osmanlilarnn	Osmanlıların	1
savunmasiyeniden	savunmasıyeniden	1
çukarma	çıkarma	1
önderligindeki	önderliğindeki	1
Boğazi'nu	Boğazı'nı	1
sinurini	sınırını	1
Protektorasi'nun	Protektorası'nun	1
larnda	landı	1
silahsizlandirlmasini	silahsızlandırlmasını	1
Erzincan’in	Erzincan’ın	1
tamamlanamadi	tamamlanamadı	1
ulaşmadi	ulaşmadı	1
Labic'1	Labıc'1	1
bağimsizhgm	bağımsızlığın	1
Ayaklanmasi'nin	Ayaklanması'nın	1
balangici	balangıcı	1
Misır'in	Mısır'ın	1
Yarimadasi'ni	Yarımadası'nı	1
Bagdat'in	Bağdat'ın	1
Ingilizleri	İngilizleri	1
Osmanhlarin	Osmanlıların	1
Diyarbakar	Diyarbakır	1
Yarimadasi'ndaki	Yarımadası'ndakı	1
Romani'de	Romanı'de	1
kalinmışt	kalınmışt	1
safinda	safında	1
Yarmadasi'nu	Yarmadası'nu	1
Cun	Çün	1
saldirdi	saldırdı	1
Yarnmadasi'ni	Yarnmadası'nı	1
çaltilar	çaltılar	1
baçari	bacarı	1
olamadilar	olamadılar	1
açıklanndaki	açıklanndakı	1
Irmağn'nin	Irmağn'nın	1
anılannda	anılarında	1
olaylann	olayların	1
yakınlannda	yakınlarında	1
olanlan	olanları	1
nlmış	rilmiş	1
hüküınetin	hükümetin	1
saflannda	saflarında	1
Manan	İnanan	1
Osinanlı	Osmanlı	1
mıktan	miktarı	1
büyıik	büyük	1
aynlarak	ayrılarak	1
etınek	etmek	1
oıncıı	öncü	1
arkadaşlanna	arkadaşlarına	1
karıp	kamp	1
g6nıı1yor	görmüyor	1
Dördünıcü	Dördüncü	1
yiizbaşı	yüzbaşı	1
Asken	Askeri	1
koşullannda	koşullarında	1
topraklanna	topraklarına	1
karıın	karın	1
başansız	başarısız	1
ınalzeme	malzeme	1
subaylann	subayların	1
Ozerı	Özen	1
Budapeste	Budapeşte	1
Savas	Savaş	1
igeren	içeren	1
Imparatorlu	İmparatorlu	1
GALICYA	GALİÇYA	1
bagiangionda	bağıangıonda	1
Osmanliya	Osmanlıya	1
Amanya	Manya	1
Dumya	Dünya	1
Savag	Savaş	1
baslangicinda	başlangıcında	1
Adays	Adayı	1
Bükres	Bükreş	1
Körtezl'ndeki	Kortezl'ndeki	1
dalil	dalıl	1
lutuimustur	lutuımustur	1
taraisz	taraısz	1
emisb	emişb	1
hattnn	hattının	1
Merig	Meriç	1
Iritak	İritak	1
Eir'de	Eır'de	1
batrsinda	batrsında	1
