original	corrected	count
BIZANS	BİZANS	1
Osrnanlıların	Osmanlıların	1
ödernek	ödenek	1
Osrnanlılar	Osmanlılar	1
hükürndarı	hükümdarı	1
hükürndarlığı	hükümdarlığı	1
banşa	barışa	1
düşürınüştü	düşünmüştü	1
Tana	Tam	1
BOGDAN	BOĞDAN	1
EFLÄK	EFLAK	1
Vama	Van	1
Iskodra	İşkodra	1
Amastris	Amastrıs	1
Osmanhilar	Osmanhılar	1
Akschir	Akschır	1
Egriboz	Eğriboz	1
Leontario	Leontarıo	1
Tarsug	Tarsus	1
Sövalyeleri	Şövalyeleri	1
Accaiuoli	Accaıuolı	1
sağlaındı	sağlandı	1
komutasmda	komutasında	1
kazanıma	kazanma	1
Mernluk	Memluk	1
riazam	mazan	1
samlan	sanılan	1
hüküındara	hükümdara	1
Saraym	Sarayın	1
imarnma	narnma	1
imamıyla	namıyla	1
Osrnanlılara	Osmanlılara	1
uyuşrnazlık	uyuşmazlık	1
Kösern	Kösem	1
geçrnedi	geçmedi	1
sultanm	sultanın	1
bolgelen	bölgeleri	1
İsrnail'in	İsmail'in	1
Hüseyn	Hüseyin	1
toplarnın	topların	1
Hüseyn'le	Hüseyin'le	1
Hüseyn'in	Hüseyin'in	1
Hüseyn'e	Hüseyin'e	1
baskılan	baskıları	1
sınırlannın	sınırlarının	1
anlarnda	anlamda	1
Bisrnarck	Bismarck	1
dönerne	döneme	1
rnaden	maden	1
Enıpire	Empire	1
faları	falan	1
söylerndi	söylendi	1
İttihatçılan	İttihatçıları	1
Antlaşrnası	Antlaşması	1
Mezopotarnya	Mezopotamya	1
dönernde	dönemde	1
Süslerne	Süsleme	1
Arnasya'da	Amasya'da	1
kirnin	Kırım	1
Dimne	Dinine	1
lenme	lerine	1
mancı	inancı	1
gerie	gene	1
Kurnpanyası	Kumpanyası	1
