original	corrected	count
meb’ûslari	meb’ûsları	20
Bartin	Bartın	15
franklik	franklık	12
panislâmist	panislamist	12
Polonya’nin	Polonya’nın	10
devamlilik	devamlılık	10
hilâfeti	hilafeti	10
ilikiler	ılıkıler	9
mimarlarinin	mimarlarının	9
toplayici	toplayıcı	9
miktarinda	miktarında	8
Osmanlici	Osmanlıcı	8
Sirb	Sırb	7
avâriz	avarız	7
reâyânin	reayanın	7
ilikileri	ılıkıleri	7
menkibe	menkıbe	7
menâkibnâmede	menakıbnâmede	7
menkibenin	menkıbenin	7
rastlaniyor	rastlanıyor	7
Hizir	Hızır	7
altyapisal	altyapısal	7
viskonsülü	vişkonsülü	7
hilâfetin	hilafetin	7
attiğimizda	attığımızda	6
nikâhi	nikahı	6
sancağina	sancağına	6
kurullarin	kurulların	6
muhassillik	muhassıllık	6
Gaspirinski	Gaspırınskı	6
eyâletlerinde	eyaletlerinde	5
timarli	tımarlı	5
kayitlarin	kayıtların	5
yillardaki	yıllardaki	5
toplumlarinin	toplumlarının	5
tartima	tartıma	5
menâkibnâmenin	menakıbnâmenin	5
Inalcik’in	İnalcık’ın	5
menâkibnâmelerde	menakıbnâmelerde	5
pâdişâhe	padişahe	5
pâdişâh	padişah	5
eşrafinin	eşrafının	5
Argiri	Argırı	5
Muntefika	Müntefika	5
meb’ûslarin	meb’ûsların	5
panislâmizmin	panislamizmin	5
Kuşatmasi’nin	Kuşatması’nın	4
kitasindaki	kıtasındaki	4
masraflarinin	masraflarının	4
pâyeli	payeli	4
kadisi	kadısı	4
vilâyetlerdeki	vilayetlerdeki	4
yazmanin	yazmanın	4
eyâletlerdeki	eyaletlerdeki	4
kapikulu	kapıkulu	4
menâkibnâme	menakıbnâme	4
menkibevî	menkıbevî	4
Kadiasker	Kadıasker	4
civâne	civane	4
Pâdişâh	Padişah	4
Müslümanlarindan	Müslümanlarından	4
fonksiyonlari	fonksiyonları	4
ustalarin	ustaların	4
ulaşimin	ulaşımın	4
teferruatli	teferruatlı	4
kit’a	kıt’a	4
kadilarina	kadılarına	4
kervanlari	kervanları	4
kervanin	kervanın	4
hocamiz	hocamız	4
Eflani	Eflanı	4
Bartin’in	Bartın’ın	4
Tuzcuoğullari	Tuzcuoğulları	4
limaninin	limanının	4
balikyaği	balıkyağı	4
kayitlarinin	kayıtlarının	4
hinterlandin	hinterlandın	4
konsoloslarin	konsolosların	4
Polonyalilarin	Polonyalıların	4
Emâreti	Emareti	4
azâsinin	azasının	4
Pavlidi	Pavlıdı	4
Censorship	Çensorshıp	4
Menâkib	Menakıb	3
kuşatmasinin	kuşatmasının	3
limanlariyla	limanlarıyla	3
iliki	ılıkı	3
pazarlarina	pazarlarına	3
eyâletlerindeki	eyaletlerindeki	3
muteberâni	muteberanı	3
ulaşmaktadir	ulaşmaktadır	3
tabakasinin	tabakasının	3
toplumlarinda	toplumlarında	3
tartişilirken	tartışılırken	3
fonksiyonlarin	fonksiyonların	3
kayitlarda	kayıtlarda	3
menkibeler	menkıbeler	3
Armağani	Armağanı	3
Menâkibnâmesi	Menakıbnâmesi	3
kayitlidir	kayıtlıdır	3
Menâkibnâme	Menakıbnâme	3
menkibeyi	menkıbeyi	3
rastlanmaktadir	rastlanmaktadır	3
Tatarlarin	Tatarların	3
artmasini	artmasını	3
Brodariç	Brodarıç	3
Menkibe	Menkıbe	3
toplandiğinda	toplandığında	3
anlarin	anların	3
kadiasker	kadıasker	3
oğlani	oğlanı	3
hâcesi	hacesi	3
fikih	fıkıh	3
nikâhsiz	nikâhsız	3
anlaıliyor	anlaılıyor	3
kitasinda	kıtasında	3
sayilmamalidir	sayılmamalıdır	3
çalima	çalıma	3
mimarîsinin	mimarisinin	3
onarimini	onarımını	3
aldiğimizda	aldığımızda	3
inşaatinda	inşaatında	3
vakiflara	vakıflara	3
pahaliliği	pahalılığı	3
Rebiülâhir	Rebiülahir	3
teferruatiyla	teferruatıyla	3
yaptirilmasi	yaptırılması	3
Sirik	Sırık	3
ilikilerinin	ılıkılerinin	3
baltanin	baltanın	3
kadisina	kadısına	3
taşındiği	taşındığı	3
ilikin	ılıkın	3
yapisindan	yapısından	3
kervanlarinin	kervanlarının	3
çağlarin	çağların	3
kervani	kervanı	3
kervanlarin	kervanların	3
dallarinin	dallarının	3
sağlanirdi	sağlanırdı	3
Goitein	Göıtein	3
emtianin	emtianın	3
mamulâti	mamulatı	3
Tansi	Tansı	3
ağinin	ağının	3
dallarinda	dallarında	3
Sultanîsi	Sultanisi	3
yorumlarin	yorumların	3
kervanlariyla	kervanlarıyla	3
rastlanmiyor	rastlanmıyor	3
coğrafyasinda	coğrafyasında	3
Sâlnâmesi	Salnamesi	3
Rudniytsky	Rudnıytsky	3
yayginlikla	yaygınlıkla	3
vilâyetini	vilayetini	3
Bâbiâlînin	Babıalinin	3
Arta’nin	Arta’nın	3
