original	corrected	count
Hinçak	Hınçak	14
kiyima	kıyıma	8
Savriev	Savrıev	7
ilikin	ılıkın	6
Kabacali	Kabacalı	5
Hinçakyan	Hınçakyan	5
divanina	divanına	5
Ittifak’in	İttifak’ın	4
ilikiler	ılıkıler	4
sürüyorlardi	sürüyorlardı	4
katildiklarini	katıldıklarını	4
Çepleci	Cepleci	4
Ittibat	İttibat	4
iliki	ılıkı	4
kanittir	kanıttır	4
silahlariyla	silahlarıyla	4
zatlarina	zatlarına	4
Divani’nin	Divanı’nın	4
anlaşmazliği	anlaşmazlığı	4
Âli’de	Ali’de	3
çalıyorlardi	çalıyorlardı	3
anlaşmazliklari	anlaşmazlıkları	3
Kanimca	Kanımca	3
Radislavov	Radıslavov	3
istifalarini	istifalarını	3
yaptirim	yaptırım	3
toplanmasindan	toplanmasından	3
buyruklarina	buyruklarına	3
ayrintilica	ayrıntılıca	3
kargaşaliklar	kargaşalıklar	3
kiisel	kıısel	3
kitalarindan	kıtalarından	3
uygarliğa	uygarlığa	3
saldirarak	saldırarak	3
kaçmişlardir	kaçmışlardır	3
divanlarina	divanlarına	3
divaninin	divanının	3
divanlari	divanları	3
kiyimindan	kıyımından	3
pazarini	pazarını	3
haydutlarin	haydutların	3
soruşturmanin	soruşturmanın	3
kitalariyla	kıtalarıyla	3
çubesine	cübesine	3
varsayilan	varsayılan	3
suçlardir	suçlardır	3
mahakim	mahakım	3
yargilamanin	yargılamanın	3
tekrarlanmasina	tekrarlanmasına	3
Elbistani	Elbistanı	3
ukrainischen	ukraınıschen	2
Haksizliklar	Haksızlıklar	2
Koparilan	Koparılan	2
Faciasi	Faciası	2
Yargilamanin	Yargılamanın	2
Korkmadiğini	Korkmadığını	2
Israilite	İsrailite	2
Ittihatçılardan	İttihatçılardan	2
yargilanmalari	yargılanmaları	2
oturtulmasi	oturtulması	2
yazisinin	yazısının	2
rastlandi	rastlandı	2
ağdali	ağdalı	2
anilarimi	anılarımı	2
insanliksever	insanlıksever	2
gruplarindan	gruplarından	2
ilikide	ılıkıde	2
korumasina	korumasına	2
farksizdi	farksızdı	2
Osmanliliğin	Osmanlılığın	2
Babikyan	Babıkyan	2
kanisindaydim	kanısındaydım	2
tarafsizliğini	tarafsızlığını	2
alinmaksizin	alınmaksızın	2
kalktiktan	kalktıktan	2
duymadilar	duymadılar	2
bağimsizliğimiza	bağımsızlığımıza	2
yayinlardan	yayınlardan	2
anilarda	anılarda	2
tarafsizliğimizi	tarafsızlığımızı	2
alinmadiği	alınmadığı	2
yalanlarini	yalanlarını	2
Karacali	Karaçalı	2
başlanmasi	başlanması	2
kitalarda	kıtalarda	2
kitalardan	kıtalardan	2
araçlarina	araçlarına	2
ilikisi	ılıkısı	2
doğrulayacaktir	doğrulayacaktır	2
toplandiklari	toplandıkları	2
sorumlularin	sorumluların	2
araciliğryla	aracılığryla	2
istifasindan	istifasından	2
çikmalarina	çıkmalarına	2
azinlikta	azınlıkta	2
Izmirliyan	İzmirliyan	2
araştirmasini	araştırmasını	2
Katogosis	Katogosıs	2
aktardiğimiz	aktardığımız	2
çubelerin	cübelerin	2
Veranasnial	Veranasnıal	2
çalişmişlardir	çalışmışlardır	2
sinirlarda	sınırlarda	2
sinirlarindan	sınırlarından	2
Pastirmaciyan	Pastırmacıyan	2
Van’in	Van’ın	2
kaçamamiş	kaçamamış	2
başkaldirma	başkaldırma	2
cezalandirildilar	cezalandırıldılar	2
kitalarina	kıtalarına	2
kurmuşlardir	kurmuşlardır	2
Kimar	Kımar	2
saldirmiş	saldırmış	2
savunuyorlardi	savunuyorlardı	2
Kirmuş’ta	Kırmuş’ta	2
artirildi	artırıldı	2
Serponil	Serponıl	2
dolayindaki	dolayındaki	2
Kizilcaova	Kızılcaova	2
başlatmiştir	başlatmıştır	2
konutlarinda	konutlarında	2
Belçikalilarin	Belçikalıların	2
birakildiğini	bırakıldığını	2
kitalarinda	kıtalarında	2
sokaklarindan	sokaklarından	2
zavallilari	zavallıları	2
davranmalari	davranmaları	2
aracindan	aracından	2
zavalliyi	zavallıyı	2
Zavallilarin	Zavallıların	2
Ilica	Ilıca	2
çunlari	çünları	2
kalacaklarina	kalacaklarına	2
Komutani’nin	Komutanı’nın	2
kiyimi	kıyımı	2
zavallilardan	zavallılardan	2
Sovriev	Sovrıev	2
başkomutanliktan	başkomutanlıktan	2
Babâli	Babalı	2
Bulgaristanli	Bulgaristanlı	2
Stavroski’nin	Stavroskı’nın	2
Stavroski	Stavroskı	2
yapilincaya	yapılıncaya	2
kalmamizi	kalmamızı	2
subaylariyla	subaylarıyla	2
Gerassimov	Gerassımov	2
Soklaumian	Şoklaumıan	2
kaçıyorlardi	kaçıyorlardı	2
inandiğini	inandığını	2
yapmamişti	yapmamıştı	2
kalmamizin	kalmamızın	2
öldürüyorlardi	öldürüyorlardı	2
Erzincan’in	Erzincan’ın	2
Visçinski	Vişçinski	2
iittim	ııttım	2
Hatlarimiza	Hatlarımıza	2
toplanmalarini	toplanmalarını	2
Şarlipazar	Şarlıpazar	2
Akkilise	Akkılıse	2
Tirhal	Tırhal	2
nazirlarinin	nazırlarının	2
Âlide	Alide	2
atili	atılı	2
yayimlanip	yayımlanıp	2
soruşturmasinin	soruşturmasının	2
yargilanmalarinin	yargılanmalarının	2
sikiyönetimin	sıkıyönetimin	2
sinirlanmiş	sınırlanmış	2
âdiyesinin	adiyesinin	2
sifatindan	sıfatından	2
yargilanmasidir	yargılanmasıdır	2
davrandiğindan	davrandığından	2
nazirlara	nazırlara	2
tutanaklarindan	tutanaklarından	2
makamlarini	makamlarını	2
kazanmamiz	kazanmamız	2
varildiğini	varıldığını	2
kanisindaydi	kanısındaydı	2
imzaladik	imzaladık	2
inanmiyordu	inanmıyordu	2
tarafsizliği	tarafsızlığı	2
Capi	Çapı	1
ferner	fener	1
Iss	İşi	1
paşa’nin	Paşa’nın	1
Yazdim	Yazdım	1
Anilarimı	Anılarımı	1
MEŞRUTIYET’IN	MEŞRUTİYET’İN	1
ILANI	İLANI	1
ITTIHAT	İTTİHAT	1
CEMIYETIN	CEMİYETİN	1
ERMENI	ERMENİ	1
Içyüzünü	İçyüzünü	1
Kararlari	Kararları	1
Tanak	Tanık	1
Dümanlarimiza	Dumanlarımıza	1
Değiiklikler	Değiıklıkler	1
Boğazhyan	Boğazlıyan	1
Icraati	İcraatı	1
Şarkikarahisar	Sarkıkarahısar	1
Halkina	Halkına	1
Arkasi	Arkası	1
Iddialar	İddialar	1
Naziri’nin	Nazırı’nın	1
İlanindan	İlanından	1
Için	İçin	1
Anilarinda	Anılarında	1
cevaplandirirken	cevaplandırırken	1
kâtiplikle	katiplikle	1
Fransizcasini	Fransızcasını	1
kâtipliğine	katipliğine	1
başkâtipliğe	başkatipliğe	1
çalışmalarini	çalışmalarını	1
locasina	locasına	1
yayginlaşmasi	yaygınlaşması	1
Mebusani’na	Mebusan’ın	1
firka’nin	Fırka’nın	1
Nazirliğina	Nazırlığına	1
Nazirliği’na	Nazırlığı’na	1
atanaçaktir	atanacaktır	1
Ocak’inda	Ocak’ında	1
sağlamasini	sağlamasını	1
Baskini’ni	Baskını’nı	1
başliyordu	başlıyordu	1
karşıtlari	karşıtları	1
durmuyorlardi	durmuyorlardı	1
ulaşamadi	ulaşamadı	1
Nazirliğrna	Nazırlığrna	1
karşitlarina	karşıtlarına	1
antlaşmasiyla	antlaşmasıyla	1
karışıkliklarin	karışıklıkların	1
zirhlilarinin	zırhlılarının	1
açilmalarinin	açılmalarının	1
bağımsizliklarini	bağımsızlıklarını	1
kaçinirlarken	kaçınırlarken	1
İase	İaşe	1
Levazim	Levazım	1
çikmamış	çıkmamış	1
yolsuzluklari	yolsuzlukları	1
uzaklaştirabilecek	uzaklaştırabilecek	1
dokunamiyordu	dokunamıyordu	1
ayrimı	ayrımı	1
militani	militan	1
Paça’nin	Paça’nın	1
yllari	ylları	1
durmamiş	durmamış	1
Iaşeci	İaşeci	1
yararlanilacak	yararlanılacak	1
harcanmiştir	harcanmıştır	1
dayanacaği	dayanacağı	1
diplomatlarina	diplomatların	1
saldirilar	saldırılar	1
kışkirtilan	kışkırtılan	1
yağmacilik	yağmacılık	1
suçlanmasina	suçlanmasına	1
istifasina	istifasına	1
bağlaşıklarinin	bağlaşıklarının	1
kiyisindaydi	kıyısındaydı	1
Sadrazamliğa	Sadrazamlığa	1
biraktiğinin	bıraktığının	1
Birakişmasi	Bırakışması	1
aktardi	aktardı	1
kalacağinizdan	kalacağınızdan	1
diğım	diğim	1
şâhânenin	şahanenin	1
arkadaşimla	arkadaşımla	1
kiraladiğimiz	kiraladığımız	1
icarindan	icarından	1
telgrafiniza	telgrafınıza	1
Bâkî	Bakı	1
Sâni	Sami	1
Divani	Divanı	1
Sikiyönetim	Sıkıyönetim	1
Orfi’de	Örfi’de	1
yargilandilar	yargılandılar	1
Ittihatçilara	İttihatçılara	1
soykirimi	soykırımı	1
ardinca	ardınca	1
Yalçin’in	Yalçın’ın	1
yansiz	yansız	1
cevaplamıştir	cevaplamıştır	1
anilarından	anılarından	1
notlarini	notlarını	1
çalimiş	çalımış	1
ayirmıştir	ayırmıştır	1
Ingilizce'dir	İngilizce'dir	1
aktariliyor	aktarılıyor	1
yansitmam	yansıtmam	1
batirilmakta	batırılmakta	1
hazirladiğı	hazırladığı	1
yazdiğımiz	yazdığımız	1
çıkarilarak	çıkarılarak	1
hazirlatilmş	hazırlatılmş	1
tanitildi	tanıtıldı	1
hazirlatilmiş	hazırlatılmış	1
müdafaasidir	müdafaasıdır	1
yayimladiklarini	yayımladıklarını	1
anlayamadiğ	anlayamadığ	1
Anilari’ni	Anıları’nı	1
çağrisini	çağrısını	1
Anilar	Anılar	1
Anilarimi	Anılarımı	1
Firkasi’nin	Fırkası’nın	1
siralamaya	sıralamaya	1
olaylardir	olaylardır	1
hatayi	hatayı	1
açacağini	açacağını	1
uyruklarina	uyruklarına	1
davranilmasini	davranılmasını	1
başardiğini	başardığını	1
kaldiriyorsa	kaldırıyorsa	1
susmayi	susmayı	1
takinan	takınan	1
baskici	baskıcı	1
Rusya’nn	Rusya’nın	1
bağimsizliğina	bağımsızlığına	1
Çarliğa	Çarlığa	1
utanmadi	utanmadı	1
sağlamlaştirildi	sağlamlaştırıldı	1
bağiml	bağını	1
zorlanirken	zorlanırken	1
koşmasinin	koşmasının	1
çıkarlarinın	çıkarlarının	1
bakimlardan	bakımlardan	1
çıkari	çıkarı	1
donanmasinda	donanmasında	1
Çarlikla	Çarlıkla	1
yararlanmaktaydi	yararlanmaktaydı	1
Antlaşmalariyla	Antlaşmalarıyla	1
Ilani	İlanı	1
sürdürüyorlardi	sürdürüyorlardı	1
çalişıyorlardi	çalışıyorlardı	1
karişıkliklara	karışıklıklara	1
Istanbuldaki	İstanbuldakı	1
omuzdalariyla	omuzdalarıyla	1
mensuplariyla	mensuplarıyla	1
azinliklardandi	azınlıklardandı	1
Yunanhilar	Yunanhılar	1
mirasçısi	mirasçısı	1
sonuçlanacağini	sonuçlanacağını	1
kazanmişlardi	kazanmışlardı	1
Theodorides	Theodorıdes	1
sağlayabiliyorlardi	sağlayabiliyorlardı	1
siğinmışlar	sığınmışlar	1
katilmaksizin	katılmaksızın	1
çalian	çalıan	1
Müslümanlarinkinden	Müslümanlarınkınden	1
bağımsizlik	bağımsızlık	1
aykirıydi	aykırıydı	1
saniyorlardi	sanıyorlardı	1
amaçlarinin	amaçlarının	1
Doğaldir	Doğaldır	1
terimine	teminine	1
imtiyazlarin	imtiyazların	1
