original	corrected	count
Yazarlan	Yazarları	1
Yazann	Yazarın	1
kurallannı	kurallarını	1
hayatmda	hayatımda	1
doğnıa	doğma	1
raporlan	raporları	1
çalışınayı	çalışmayı	1
Kısınet	Kısmet	1
başansını	başarısını	1
şürleri	şiirleri	1
almacak	alınacak	1
inamlmaz	inanılmaz	1
bulurian	bulunan	1
çalışmalannda	çalışmalarında	1
olniası	olması	1
Sıtrna	Sıtma	1
alanlannı	alanlarını	1
varlıklannı	varlıklarını	1
ayrıım	ayrım	1
Kümüş	Kurmuş	1
Rüneri	Rumen	1
çıkanr	çıkarır	1
karnun	kanun	1
bazarı	bazan	1
haklam	hakları	1
tarıım	tarım	1
sırasma	sırasına	1
fenanın	fermanın	1
kıyınetini	kıymetini	1
Kurnar	Kumar	1
kumayı	kurmayı	1
ımayı	mayı	1
erlem	erleri	1
ımevi	nevi	1
Türmen	Tümen	1
Fırmın	Fırın	1
