original	corrected	count
Vekâyi	Vekayi	51
semirim	şemirim	24
mesa’i	mesa’ı	22
Islamiyye	İslamiyye	21
veza’if	veza’ıf	14
atamasi	ataması	13
mucîbince	mucibince	12
Ittibad	İttibad	11
programlarinin	programlarının	9
esbabinin	esbabının	9
vurgulamiştir	vurgulamıştır	8
islahina	ıslahına	8
muntazirdir	muntazırdır	8
anayasali	anayasalı	7
istifasina	istifasına	7
çtima	çtıma	7
Programlarinda	Programlarında	6
tasariyi	tasarıyı	6
buhranin	buhranın	6
memurînin	memurinin	6
esbabina	esbabına	6
mütevakkif	mütevakkıf	6
müte’allik	müte’allık	6
müsa’id	musa’ıd	6
terakkiyyati	terakkiyyatı	6
meşru’tiyyetin	meşru’tıyyetin	6
Osmâniyye’nin	Osmaniyye’nin	6
müte’akib	müte’akıb	6
şera’it	sera’ıt	6
ifraği	ifrağı	6
tevfikât	tevfikat	6
açilacaği	açılacağı	6
çalima	çalıma	5
Anayasa’nin	Anayasa’nın	5
bunalimli	bunalımlı	5
mesa’il	mesa’ıl	5
itimadina	itimadına	5
programlarin	programların	5
icra’iyye	icra’ıyye	5
oylamanin	oylamanın	5
tebaamizin	tebaamızın	5
vesa’it	vesa’ıt	5
isti'fasi	isti'fası	5
feva’id	feva’ıd	5
Osmâniyyenin	Osmaniyyenin	5
arzini	arzını	5
olunacakdir	olunacakdır	5
Hakk’in	Hakk’ın	5
Nazirr	Nazırr	5
programlarinda	programlarında	5
vifâk	vifak	5
Haydarizâde	Haydarizade	5
açılacaktir	açılacaktır	5
Programlarinin	Programlarının	4
sadrazamlarin	sadrazamların	4
çalşmalarini	çalşmalarını	4
sunulmasi	sunulması	4
Âli'sine	Ali'sine	4
okunmasindan	okunmasından	4
icraatinda	icraatında	4
oylanmasi	oylanması	4
oylanmasini	oylanmasını	4
basilip	basılıp	4
Ilimler	İlimler	4
nizamatin	nizamatın	4
varidatin	varidatın	4
ihtiyacatina	ihtiyacatına	4
mesa’inin	mesa’ının	4
intizamin	intizamın	4
yapilmamı	yapılmamı	4
Mart’in	Mart’ın	4
çalşacağiz	çalşacağız	4
hükkâmin	hükkamın	4
izâlesiyle	izalesiyle	4
arâzinin	arazinin	4
mukavelatin	mukavelatın	4
mebuslarinin	mebuslarının	4
alinacağini	alınacağını	4
netâyic	netayic	4
tadilât	tadilat	4
lâzimgelen	lazımgelen	4
iliki	ılıkı	3
onayindan	onayından	3
bulacaği	bulacağı	3
layihalarinin	layihalarının	3
konulmasini	konulmasını	3
kiramin	kiramın	3
buyurduklari	buyurdukları	3
yazisiz	yazısız	3
Anayasasi’nda	Anayasası’nda	3
haziraya	hazıraya	3
inikadina	inikadına	3
Esasi’miz	Esası’mız	3
kava’id	kava’ıd	3
bedihî	bedihi	3
ittihadin	ittihadın	3
çalişılacakdir	çalışılacakdır	3
münasebati	münasebatı	3
maksadimizin	maksadımızın	3
matbu’atin	matbu’atın	3
meşru’tiyyete	meşru’tıyyete	3
isti'fasina	isti'fasına	3
âlinizde	alinizde	3
istibdadin	istibdadın	3
irtica’iyyunun	irtica’ıyyunun	3
