original	corrected	count
Hasbihal’in	Hasbıhal’ın	3
Ünaydin’in	Ünaydın’ın	2
Erkâniharbiyesine	Erkânıharbiyesine	2
Bayıri	Bayırı	2
Pozanti’da	Pozantı’da	2
amima	amma	1
erişebilmiştir	erisebilmiştir	1
Hasbihal	Hasbıhal	1
yayımlayana	yayımlayan	1
Cumhurbaşkanliği	Cumhurbaşkanlığı	1
sağliğinda	sağlığında	1
basilmadi	basılmadı	1
Yayinlari’nin	Yayınları’nın	1
Ünaydin	Ünaydın	1
yazidan	yazıdan	1
Yayinevimiz	Yayınevimiz	1
yazilmasina	yazılmasına	1
Inan’in	İnan’ın	1
yayınlanamamıştir	yayınlanamamıştır	1
matbaasinda	matbaasında	1
çikarilmiştir	çıkarılmıştır	1
Babiâli'ce	Babıali'ce	1
toplattirilarak	toplattırılarak	1
hasbihal	hasbıhal	1
cevabidir	cevabıdır	1
başliğinda	başlığında	1
tanitilmasina	tanıtılmasına	1
Hasbihal’ini	Hasbıhal’ını	1
okunacaktir	okunacaktır	1
yaranin	yaranın	1
şakalaşmalari	şakalaşmaları	1
siralamak	sıralamak	1
Idadisinde	İdadisinde	1
arkadaşliği	arkadaşlığı	1
Harekâti’nda	Harekatı’nda	1
Conkbayiri	Conkbayırı	1
inkilaplar	inkılaplar	1
arkadaşliğini	arkadaşlığını	1
vefali	vefalı	1
hatirlatirdi	hatırlatırdı	1
Imparatorluklari	İmparatorlukları	1
Balikesir’de	Balıkesir’de	1
erkâniharplik	erkanıharplık	1
imtihanini	imtihanını	1
kurmaylik	kurmaylık	1
erkâniharbiyesine	erkânıharbiyesine	1
binbaşıliğa	binbaşılığa	1
Bolayir’da	Bolayır’da	1
subayindan	subayından	1
nişanlariyla	nişanlarıyla	1
Balikesir’den	Balıkesir’den	1
Bayiri'nda	Bayırı'nda	1
şakağindan	şakağından	1
yarbayliğa	yarbaylığa	1
Bayiri’ndaki	Bayırı’ndakı	1
Nase	Rise	1
nişaniyla	nişanıyla	1
madalyasiyla	madalyasıyla	1
albayliğa	albaylığa	1
Kilıçli	Kılıçlı	1
Komutanliğini	Komutanlığını	1
Kumandanliği’ni	Kumandanlığı’nı	1
soyadini	soyadını	1
sofrasinda	sofrasında	1
Idadisi'nde	İdadisi'nde	1
Harekâti'nda	Harekatı'nda	1
Bayıri’nda	Bayırı’nda	1
arkadaşliklarini	arkadaşlıklarını	1
inkilaplarda	inkılaplarda	1
bahtiyarliğina	bahtiyarlığına	1
kâğidim	kağıdım	1
yazamayacağim	yazamayacağım	1
hazarı	hazan	1
