book	page	unknown_ratio	words	source
19. Yüzyılda Osmanlı Ekonomisi (Tevfik Güran)	p. 357	0.36	120	text
Arap İsyanı 1916-1918 (David Murphy)	p. 3	0.28	18	text
Atatürk Hakkında Hatıralar ve Belgeler (Afet İnan)	p. 1	0.28	25	text
Atatürk Hakkında Hatıralar ve Belgeler (Afet İnan)	p. 523	0.36	141	ocr
Atatürk Hakkında Hatıralar ve Belgeler (Afet İnan)	p. 525	0.62	24	text
Atatürk Hakkında Hatıralar ve Belgeler (Afet İnan)	p. 527	0.38	50	ocr
Atatürk Hakkında Hatıralar ve Belgeler (Afet İnan)	p. 529	0.38	94	ocr
Atatürk Hakkında Hatıralar ve Belgeler (Afet İnan)	p. 530	0.32	104	ocr
Atatürk Hakkında Hatıralar ve Belgeler (Afet İnan)	p. 531	0.78	27	text
Avrupa ve Biz (İlber Ortaylı)	p. 95	0.30	20	text
Avrupa'da Müslümanlar (Lucette Valensi)	p. 41	0.37	279	text
Avrupa'da Müslümanlar (Lucette Valensi)	p. 127	0.26	293	text
Avrupa'da Müslümanlar (Lucette Valensi)	p. 192	0.42	154	text
Avrupa'da Müslümanlar (Lucette Valensi)	p. 199	0.27	237	text
Avrupa'da Müslümanlar (Lucette Valensi)	p. 211	0.27	271	text
Avrupa'da Müslümanlar (Lucette Valensi)	p. 250	0.30	343	text
Avrupa'da Müslümanlar (Lucette Valensi)	p. 272	0.34	393	text
Avrupa'da Müslümanlar (Lucette Valensi)	p. 273	0.28	399	text
Avrupa'da Müslümanlar (Lucette Valensi)	p. 275	0.28	373	text
Avrupa'da Müslümanlar (Lucette Valensi)	p. 285	0.29	326	text
Balkan Harbi'nde Ulaştırma (Bülent Durgun)	p. 187	0.26	35	text
Bir Yedek Subayın Anıları (Faik Tonguç)	p. 7	0.28	50	text
Bir Yedek Subayın Anıları (Faik Tonguç)	p. 308	0.29	31	text
Bu Defa Niçin Harp Edeceğimi Biliyorum (İbrahim Sorguç)	p. 1	0.33	21	text
Bu Defa Niçin Harp Edeceğimi Biliyorum (İbrahim Sorguç)	p. 144	0.27	15	ocr
Bu Defa Niçin Harp Edeceğimi Biliyorum (İbrahim Sorguç)	p. 147	0.37	133	ocr
Bu Defa Niçin Harp Edeceğimi Biliyorum (İbrahim Sorguç)	p. 148	0.28	85	text
Büyük Petro (Robert K. Massie)	p. 370	0.27	15	text
Cumhuriyet'in Çinli Misafirleri (Giray Fidan)	p. 146	0.28	36	ocr
Değişen İstanbul (Zeynep Çelik)	p. 95	0.38	21	text
Değişen İstanbul (Zeynep Çelik)	p. 232	0.26	96	ocr
Kılıç Ali'nin Anıları (Kılıç Ali)	p. 756	0.27	26	text
Kırım Savaşı ve Osmanlılar (Candan Badem)	p. 3	0.38	16	text
Kırım Savaşı ve Osmanlılar (Candan Badem)	p. 301	0.34	251	text
Kırım Savaşı ve Osmanlılar (Candan Badem)	p. 321	0.35	262	text
Kırım Savaşı ve Osmanlılar (Candan Badem)	p. 325	0.33	257	text
Kırım Savaşı ve Osmanlılar (Candan Badem)	p. 328	0.33	273	text
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 44	0.46	111	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 142	0.50	162	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 274	0.41	54	text
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 276	0.40	119	text
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 393	0.40	296	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 395	0.31	278	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 397	0.31	234	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 414	0.38	335	text
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 415	0.40	235	text
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 416	0.43	191	text
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 417	0.51	181	text
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 418	0.45	192	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 419	0.47	178	text
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 420	0.38	256	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 421	0.55	213	text
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 422	0.51	207	text
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 423	0.42	208	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 424	0.36	210	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 425	0.43	222	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 426	0.50	219	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 427	0.42	236	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 428	0.46	219	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 429	0.48	229	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 430	0.47	227	ocr
Kızıltoprak Anıları (Nezih H. Neyzi)	p. 431	0.45	152	ocr
Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 3	0.30	202	ocr
Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 25	0.26	47	ocr
Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 588	0.33	46	ocr
Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 623	0.44	91	ocr
Osmanlı Piyadesi 1914-1918 (David Nicolle)	p. 5	0.65	23	text
Osmanlı Piyadesi 1914-1918 (David Nicolle)	p. 6	0.26	110	ocr
Osmanlı Piyadesi 1914-1918 (David Nicolle)	p. 62	0.44	39	text
Osmanlı İmparatorluğu Tarihi (Robert Mantran)	p. 172	0.48	31	text
Osmanlı'da Değişim ve Anayasal Rejim Sorunu (İlber Ortaylı)	p. 66	0.26	235	ocr
Osmanlı'da Değişim ve Anayasal Rejim Sorunu (İlber Ortaylı)	p. 207	0.56	16	ocr
Son Osmanlılar (Murat Bardakçı)	p. 182	0.28	25	text
Sultanın Paşaları (Olivier Bouquet)	p. 3	0.26	19	text
Sultanın Paşaları (Olivier Bouquet)	p. 429	0.57	56	text
Sultanın Paşaları (Olivier Bouquet)	p. 465	0.56	27	ocr
Sultanın Paşaları (Olivier Bouquet)	p. 466	0.45	20	text
Sultanın Paşaları (Olivier Bouquet)	p. 502	0.46	443	ocr
Talât Paşa'nın Evrak-ı Metrukesi (Murat Bardakçı)	p. 2	0.26	19	text
Tarih Boyunca Türk Atasözleri (Aydın Oy)	p. 165	0.29	116	text
Trablusgarp Savaşı ve Türk-İtalyan İlişkileri (Timothy W. Childs)	p. 11	0.36	44	ocr
