note	book	page	result	score	quote
Ottoman Empire.md	19. Yüzyılda Osmanlı Ekonomisi (Tevfik Güran)	p. 316	unmatched	0	YÜZVILDA OSMANLI EKONOMiSi ÜZERiNE ARAŞTIRMALAR Tablo 9.1 Osmanlı Devletinin ida
Turkish folklore.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 15	updated		(bilim)den gelmektedir; anlam da halkbilim demektir. 1846 yılından bu yana Anglo → bilim)den gelmektedir; anlam da halkbilim demektir. 1846 yılından bu yana Anglo-
Turkish folklore.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 92	updated		Beysanoğlu "Folklor" teriminin kökenini açıklayan; değiık ülkelerdeki karılıklar → Beysanoğlu "Folklor" teriminin kökenini açıklayan; değiık ülkelerdeki karılıklar
Turkish folklore.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 104	unmatched	0	BoöaziGi Universitesi Folklor Kulübü, halkbilime dönük etkinliklerinin yaruslra 
Turkish folklore.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 201	unmatched	0	Bir g(in Cahid ile Monte Carloya gittim. Heniiz mevsim hulfil etmemi§ g(iya, fak
Turkish folklore.md	İstanbul'da Ramazan (François Georgeon)	p. 76	updated		"Tanzimat'ın babası" addedilen, reformları uygulamaya koyan Sadrazam Mustafa Reş → Tanzimat'ın babası" addedilen, reformları uygulamaya koyan Sadrazam Mustafa Reşi
Crusades.md	Osmanlı Arap Coğrafyası ve Avrupa Emperyalizmi (Ali Akyıldız)	p. 484	updated		İstanbul'u muhafaza edebilmek ümidiyle naçar Rusya'nın kucağına atılması üzerine → İstanbul'u muhafaza edebilmek ümidiyle naçar Rusya'nın kucağına atılması üzerine
Crusades.md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 8	unmatched	0	Haçlı seteri söylemi çok çeşitli biçimlere bürtındü. «eharetle, de pıtrak eibi ç
Crusades.md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 56	unmatched	0	Haçlı seferleri ya da kutsal savaş ideo- :. in i n yerini hükümdarl arn lay dacı
Crusades.md	Arap İsyanı 1916-1918 (David Murphy)	p. 19	unmatched	0	Oxford Üniversitesi'ndeki Jesus College'ta eğitim görerek birinci sınıf bir dipl
Fall of Constantinople (1453).md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 250	unmatched	0	…mii.ovulgverSieidoa.leieibncl.s.ouaop.lLnnano.4_.a-, 1 Bkz.Guy Le Thiec, "Et il
Fatih Sultan Mehmed.md	Bir Amerikan Diplomatının İstanbul Anıları (Samuel S. Cox)	p. 396	unmatched	0	Fatih, “Eee?
Fatih Sultan Mehmed.md	Bir Amerikan Diplomatının İstanbul Anıları (Samuel S. Cox)	p. 396	updated		“adalet bizim tanık olduğumuz çekilde yerine getirildiği sürece, burada sonsuza  → adalet bizim tanık olduğumuz çekilde yerine getirildiği sürece, burada sonsuza d
Fatih Sultan Mehmed.md	Türkiye'de Milli İktisat (Zafer Toprak)	p. 341	updated		un değişik semtlerinde on iki tüketim kooperatifi kurulmasına karar verildi. 27  → un değişik semtlerinde on iki tüketim kooperatifi kurulmasına karar verildi. 27 
Fatih Sultan Mehmed.md	Cumhuriyet'in Çinli Misafirleri (Giray Fidan)	p. 163	unmatched	0	Mehrned (Fatih Sultan Mehmed) Cami Kapalıçarşı Kaşgar Yeni Cami Gotik Biuns Roma
Fatih Sultan Mehmed.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 432	updated		Hazret-i Fatih'in feth-i miibarek-i Kostantiniyyesiyle kUrre-i cihan iizerinde u → yeni bir safha-i tarihiye kuşãd etmiştir. Hazret-i Fatih’in feth-i mübarek-i e e
Fatih Sultan Mehmed.md	Bir Amerikan Diplomatının İstanbul Anıları (Samuel S. Cox)	p. 396	unmatched	0	Fatih, “Eee?
Fatih Sultan Mehmed.md	Bir Amerikan Diplomatının İstanbul Anıları (Samuel S. Cox)	p. 396	updated		“adalet bizim tanık olduğumuz çekilde yerine getirildiği sürece, burada sonsuza  → adalet bizim tanık olduğumuz çekilde yerine getirildiği sürece, burada sonsuza d
Barbaros Hayreddin.md	Balkan Harbi'nde Ulaştırma (Bülent Durgun)	p. 240	updated		Zırhlısı'nın arzu edilen niteliklerde olmadığını düşünerek verdiği siparişler so → Zırhlısı'nın arzu edilen niteliklerde olmadığını düşünerek verdiği siparişler so
Barbaros Hayreddin.md	Osmanlı İmparatorluğu Tarihi (Robert Mantran)	p. 188	updated		Savaşlar denizde sürecektir: Barbaros, Venediklileri yarımadadaki son mevzilerin → Savaşlar denizde sürecektir: Barbaros, Venediklileri yarımadadaki son mevzilerin
Kanuni Sultan Süleyman.md	Bir Amerikan Diplomatının İstanbul Anıları (Samuel S. Cox)	p. 12	unmatched	0	2e-0yeal gee ee oe ee 98 Yeniceri ates silahlary c.0)4 Bie ce ote mee te ee 29 R
Yavuz Sultan Selim.md	Osmanlı Arap Coğrafyası ve Avrupa Emperyalizmi (Ali Akyıldız)	p. 16	unmatched	83	1 Osmanl ı Arap Coğrafyası nda Uluslararası Rekabet Osmanlı devleti, Yavuz Sulta
