original	corrected	count
Poteınkin'in	Potemkin'in	1
LEHISTAN'IN	LEHİSTAN'IN	1
FINLANDIYA	FİNLANDİYA	1
ISVEÇ'IN	İSVEÇ'İN	1
LIVONYA	LİVONYA	1
Kilburun	Kılburun	1
Pesne	Peşine	1
Katerina'mn	Katerina'nın	1
Yelizaveta'mn	Yelizaveta'nın	1
tahnn	tahmin	1
İvan'm	İvan'ın	1
Katerina'nin	Katerina'nın	1
kiyisndaki	kıyısındaki	1
tarafindaysa	tarafındaysa	1
Katerina'nm	Katerina'nın	1
Prusya'nm	Prusya'nın	1
Poternkin	Potemkin	1
nanma	narnma	1
devinimler	devrimler	1
atamı	atan	1
Aynlıkları	Ayrılıkları	1
Kaııs	Kaus	1
