original	corrected	count
Aylann	Ayların	1
IMPARATORLUGU'NDAN	İMPARATORLUĞU'NDAN	1
ÇAGDA	ÇAĞDA	1
TÜRKIYE'YE	TÜRKİYE'YE	1
DEVRIM	DEVRİM	1
IIK	UK	1
Ranıazan	Ramazan	1
Bayrain	Bayram	1
bıınu	bunu	1
karnıını	kanuni	1
romarn	roman	1
kahramarn	kahraman	1
umuma	umumi	1
kalktiğini	kalktığını	1
yasaklanmadi	yasaklanmadı	1
olmarnası	olmaması	1
rnahalde	mahalde	1
Rarnazan'ı	Ramazan'ı	1
yaşarnın	yasanın	1
denerne	deneme	1
Yanlannda	Yanlarında	1
yakmindaki	yakınındaki	1
Tanman	Tanınan	1
etıneden	etmeden	1
Ternps	Temps	1
Kesnin	Kesimin	1
Duınont	Dumont	1
lüzuın	lüzum	1
Alaim	Alan	1
olınaya	olmaya	1
