original	corrected	count
Izmir’le	İzmir’le	2
Afyonkarahisar'in	Afyonkarahisar'ın	1
Başkumandanin	Başkumandanın	1
ayrilışi	ayrılışı	1
alkişlari	alkışları	1
Dağlari’ni	Dağları’nı	1
yakamadi	yakamadı	1
kaçıramadi	kaçıramadı	1
Balmahmut’tadir	Balmahmut’tadır	1
Altintaşa	Altıntaşa	1
gözürnü	gözünü	1
çalişıyorduk	çalışıyorduk	1
kaçtiklarinı	kaçtıklarını	1
başladiklarini	başladıklarını	1
yakilmakta	yakılmakta	1
Bandirma’da	Bandırma’da	1
kazandiktan	kazandıktan	1
yakildiğini	yakıldığını	1
acidik	acıdık	1
Buca'sinı	Buca'sını	1
Karşıyaka'sinı	Karşıyaka'sını	1
anlayamiyordum	anlayamıyordum	1
pederini	pederim	1
fülen	fiilen	1
Iyiliklere	İyiliklere	1
ruhuma	ruhuna	1
Sabir	Sabır	1
Mudanya’nin	Mudanya’nın	1
mehtabi	mehtabı	1
vapurlarindan	vapurlarından	1
hatiralari!	hatıraları!	1
yaklaştiktan	yaklaştıktan	1
çikacağiz	çıkacağız	1
miktarinda	miktarında	1
karşılaşiriz	karşılaşırız	1
zorluklarini	zorluklarını	1
sevdalisi	sevdalısı	1
stajini	stajını	1
imkânsizliklara	imkansızlıklara	1
asistanliği	asistanlığı	1
ihtisasi	ihtisası	1
aktarirken	aktarırken	1
oralarin	oraların	1
müçavir	mücavir	1
Salgin	Salgın	1
Fabrikasi	Fabrikası	1
sahsiyetlerinin	şahsiyetlerinin	1
fotoğraflarinin	fotoğraflarının	1
Eczacibaşı	Eczacıbaşı	1
ilaçlari	ilaçları	1
Sigortasi'ni	Sigortası'nı	1
