original	corrected	count
ilikin	ılıkın	3
tutanaklarini	tutanaklarını	3
Kanı1n	Kanın	1
Mebusiin	Mebusun	1
urnur	umur	1
Kudiis	Kudüs	1
MEBÜSİİN	MEBUSUN	1
ınüstenid	müstenid	1
mevzı1	mevzu	1
nüfı1z	nüfuz	1
MEBÜSIİN	MEBUSUN	1
Hükı1met	Hükümet	1
mahfı1z	mahfuz	1
kanı1n	kanın	1
MEBÜSİIN	MEBUSUN	1
muarnelat	muamelat	1
rnehakim	mehakim	1
siiretde	suretde	1
sı1retiyle	suretiyle	1
ınüsaid	müsaid	1
siiret	suret	1
mebı1san	Mebusan	1
Tabüdir	Tabiidir	1
sı1retde	suretde	1
yahı1d	yahud	1
Hükiımet	Hükümet	1
kabiıl	kabul	1
mevcı1d	mevcud	1
husı1s	husus	1
husı1sda	hususda	1
sadalan	sadaları	1
rnenafi	menafi	1
rnünafi	münafi	1
mernleketde	memleketde	1
mesı1l	mesul	1
Kanfm	Kanfın	1
Enciimen	Encümen	1
Ceinal	Cemal	1
mesı1liyet	mesuliyet	1
rnüstenid	müstenid	1
mecbı1r	mecbur	1
mahsı1lat	mahsulat	1
kabı1l	kabul	1
ylinda	ylında	1
dayisı	dayısı	1
yillarnda	yıllarnda	1
tanişii	tanışıı	1
Sendikasi'nin	Sendikası'nın	1
Bankasi'nda	Bankası'nda	1
Danişmäni	Danışmanı	1
Oyunlarini	Oyunlarını	1
oyunlarinin	oyunlarının	1
sanatlarina	sanatlarına	1
Soyak'in	Soyak'ın	1
yayimlanmasi	yayımlanması	1
Tunaya'nin	Tunaya'nın	1
araştirmalarina	araştırmalarına	1
Alus	Alış	1
Ajansi’na	Ajansı’na	1
Yayınlari'nin	Yayınları'nın	1
basilmasina	basılmasına	1
yayimlanmasini	yayımlanmasını	1
danişrnani	danışmanı	1
yllari	ylları	1
Yayinlari'nda	Yayınları'nda	1
danışmanliğini	danışmanlığını	1
Ittihadcilik	İttihadcılık	1
yargilamalari	yargılamaları	1
sân	şan	1
Mebûsân	Mebüsan	1
adadiği	adadığı	1
Itihad	İtihad	1
Teraki	Terakı	1
Yargilamalar	Yargılamalar	1
soruşturmasinin	soruşturmasının	1
Yargilamasi	Yargılaması	1
Ittihadcilarin	İttihadcıların	1
olaylariyla	olaylarıyla	1
suçlandiklari	suçlandıkları	1
yargilamanin	yargılamanın	1
ittihadcilarin	ittihadcıların	1
Yargilama'sinin	Yargılama'sının	1
