original	corrected	count
ilikin	ılıkın	3
tutanaklarini	tutanaklarını	3
Mahkenıesi	Mahkemesi	1
Sı1reti	Sureti	1
ınevkiine	mevkiine	1
mektı1b	mektub	1
Hükı1meti	Hükümeti	1
vücı1de	vücude	1
fatına	Fatma	1
rnevzfı	mevzfı	1
rnektub	mektub	1
ısınının	isminin	1
maliimat	malumat	1
mebı1su	mebusu	1
meınleketde	memleketde	1
yaprnağa	yapmağa	1
sı1retle	suretle	1
yaıma	yana	1
malı1matınız	malumatınız	1
rnüddetce	müddetçe	1
mektiibu	mektubu	1
Kabı1l	Kabul	1
Baturn'a	Batum'a	1
Talat'm	Talat'ın	1
rnevcud	mevcud	1
Mebusı!in	Mebusun	1
mevcı1diyet	mevcudiyet	1
Hükı1meti'ne	Hükümeti'ne	1
cürmle	cümle	1
merbiit	merbut	1
Mahsı1lat	Mahsulat	1
siiretle	suretle	1
Huzı1r	Huzur	1
merbı1t	merbut	1
namıda	manda	1
mesı1lü	mesulü	1
devamım	devamını	1
rneclis	meclis	1
mazı1r	mazur	1
Mektı1b	Mektub	1
ciirm	cürm	1
tabudir	tabiidir	1
amiin	Amin	1
sı1ret	suret	1
Malı1m	Malum	1
tabüdir	tabiidir	1
ımenin	menin	1
Cumhı1riyeti'nin	Cumhuriyeti'nin	1
veyahı1d	veyahud	1
mzasıyla	imzasıyla	1
çalıti	çalıtı	1
Sendikasi'nin	Sendikası'nın	1
Danışmani	Danışmanı	1
Yayınlari'ndan	Yayınları'ndan	1
oyunlarinin	oyunlarının	1
Soyak'in	Soyak'ın	1
yayimlanmasi	yayımlanması	1
Tunaya’nin	Tunaya’nın	1
araştirmalarina	araştırmalarına	1
Ajansina	Ajansına	1
Yayinlari'nin	Yayınları'nın	1
çalşmanin	çalşmanın	1
basilmasina	basılmasına	1
yayimlanmasini	yayımlanmasını	1
yllari	ylları	1
danimani	danımanı	1
Yayınlari'nda	Yayınları'nda	1
danişmanliğini	danışmanlığını	1
Ittihadcilik	İttihadcılık	1
çalitiği	çalıtığı	1
yargilamalari	yargılamaları	1
Mebüsân	Mebusan	1
adadiği	adadığı	1
Yargilamalar	Yargılamalar	1
soruşturmasinin	soruşturmasının	1
Yargilaması	Yargılaması	1
olaylariyla	olaylarıyla	1
suçlandiklari	suçlandıkları	1
yargilamanin	yargılamanın	1
Ittihadcilarin	İttihadcıların	1
Yargilama'sinin	Yargılama'sının	1
