original	corrected	count
Saray'm	Saray'ın	1
Hükürnet	Hükümet	1
rneselesi	meselesi	1
Kernal'e	Kemal'e	1
hükürnete	hükümete	1
Temrnuz'da	Temmuz'da	1
bulunrnuyor	bulunmuyor	1
Ternmuz'da	Temmuz'da	1
Erzururn'da	Erzurum'da	1
Erzururn'daki	Erzurum'daki	1
Camili	Canlı	1
doğrudari	doğrudan	1
Alrnanya'nın	Almanya'nın	1
Docurnents	Documents	1
Kaynaklanndan	Kaynaklarından	1
Olaylan	Olayları	1
Komutanlann	Komutanların	1
Devanı	Devam	1
Yaptıklanm	Yaptıklarını	1
Sanhan	Sarıhan	1
Arıkara'ya	Ankara'ya	1
çürıkü	çünkü	1
Osrnani	Osmani	1
sorıradan	sonradan	1
kırını	Kırım	1
bulunınakla	bulunmakla	1
düşürımek	düşünmek	1
çıkanlması	çıkarılması	1
olmuşturn	olmuştum	1
sükiın	sükun	1
olmalannı	olmalarını	1
tamşma	tanışma	1
çıkanlmış	çıkarılmış	1
toplann	topların	1
dolaylannda	dolaylarında	1
bozgiına	bozguna	1
oluştıırulması	oluşturulması	1
burıları	bunları	1
Mazbatalan	Mazbataları	1
Fırkasımn	Fırkasının	1
sonıa	sona	1
Arızavur	Anzavur	1
