original	corrected	count
Paça'nin	Paça'nın	30
Şahbaba'nin	Şahbaba'nın	24
yaptiğ	yaptığ	23
Remo'daki	Remo'dakı	22
hilâfeti	hilafeti	22
olmadiğ	olmadıg	19
hilâfetin	hilafetin	19
karçi	karçı	18
bakniz	baknız	17
veliahdi	veliahdı	15
yazdiğ	yazdıg	14
veliahdin	veliahdın	14
Izmirin	İzmirin	14
hatiralarnda	hatıralarnda	13
aldiğ	aldığ	12
yazamadim	yazamadım	12
Paça’nin	Paça’nın	12
Sabihaciğim	Sabihacığım	12
okunamadi	okunamadı	12
Abdülâziz	Abdülaziz	11
buyurmanizi	buyurmanızı	10
yazacakti	yazacaktı	10
Şahbaba’nin	Şahbaba’nın	10
Feryadim	Feryadım	10
Fazile	Fazıle	9
hatiralarndan	hatıralarndan	9
dolaysiyla	dolaysıyla	8
Gayyasinda	Gayyasında	8
kizlarim	kızlarım	8
kaldiğ	kaldığ	8
yazacaktir	yazacaktır	8
imzalanmasindan	imzalanmasından	8
hilâfete	hilafete	8
musahib	musahıb	8
Bakanliğ	Bakanlığ	8
Salâhiye	Salahiye	8
Kadinefendi	Kadınefendi	7
kizlarndan	kızlarndan	7
Veliahdin	Veliahdın	7
yaptiklar	yaptıklar	7
Izmire	İzmire	7
anlatacakti	anlatacaktı	7
karçisinda	karçısında	7
Yildiz’a	Yıldız’a	7
Salâhaddin	Salahaddin	7
birhayli	birhaylı	6
kullandiğ	kullandığ	6
anlatacaktir	anlatacaktır	6
yakinliğl	yakınlığl	6
Dolaysiyla	Dolaysıyla	6
Saltanatsiz	Saltanatsız	6
şahânenin	şahanenin	6
andlaşmanin	andlaşmanın	6
buyurulmasini	buyurulmasını	6
hanedanimizin	hanedanımızın	6
çikartilmiştir	çıkartılmıştır	6
inçaallah	incaallah	6
villanin	villanın	6
Celîlesi'ne	Celilesi'ne	6
külâhini	külahını	5
Misira	Mısıra	5
biraktiğ	bıraktığ	5
yazdiklarnda	yazdıklarnda	5
yaşadiğ	yaşadığ	5
katindaki	katındaki	5
kizlarna	kızlarna	5
yaynladiğ	yaynladığ	5
Baltalimani'ndaki	Baltalimanı'ndakı	5
çıkarttiğ	çıkarttığ	5
saltanatini	saltanatını	5
elyazisiyla	elyazısıyla	5
istirhâm	istirham	5
