100. Yılında Jön Türk Devrimi (Sina Akşin): 685 sections, 38 chapters, 2 corrections
19. Yüzyılda Osmanlı Ekonomisi (Tevfik Güran): 431 sections, 11 chapters, 61 corrections
Allahın Süngüleri Reis Paşa (Attilâ İlhan): 597 sections, 16 chapters, 46 corrections
Arap İsyanı 1916-1918 (David Murphy): 95 sections, 23 chapters, 25 corrections
Atatürk Hakkında Hatıralar ve Belgeler (Afet İnan): 547 sections, 6 chapters, 29 corrections
Atatürk'le Beraber (Mazhar Müfit Kansu): 769 sections, 5 chapters, 83 corrections
Avrupa ve Biz (İlber Ortaylı): 257 sections, 14 chapters, 72 corrections
Avrupa'da Müslümanlar (Lucette Valensi): 318 sections, 11 chapters, 284 corrections
Balkan Harbi'nde Ulaştırma (Bülent Durgun): 298 sections, 23 chapters, 86 corrections
Balkan Savaşları (Troçki) (Leon Trotsky): 388 sections, 0 chapters, 0 corrections
Balkan Savaşı Günlüğü (Gustav von Hochwächter): 149 sections, 1 chapters, 21 corrections
Batı Edebiyatında Oryantalizm 2 (Onur Bilge Kula): 635 sections, 2 chapters, 42 corrections
Bir Sovyet Diplomatının Türkiye Anıları (S. İ. Aralov): 149 sections, 0 chapters, 0 corrections
Bir Yedek Subayın Anıları (Faik Tonguç): 388 sections, 14 chapters, 9 corrections
Birinci Dünya Savaşı'nda Türkiye (Ahmet Emin Yalman): 383 sections, 16 chapters, 11 corrections
Bu Defa Niçin Harp Edeceğimi Biliyorum (İbrahim Sorguç): 162 sections, 2 chapters, 26 corrections
Büyük Petro (Robert K. Massie): 1093 sections, 8 chapters, 14 corrections
Cemal Paşa Hatıralar (Cemal Paşa): 457 sections, 1 chapters, 52 corrections
Cumhuriyet'in Çinli Misafirleri (Giray Fidan): 176 sections, 12 chapters, 9 corrections
Cumhuriyete Doğru (Mahmut Goloğlu): 377 sections, 0 chapters, 0 corrections
Değişen İstanbul (Zeynep Çelik): 266 sections, 8 chapters, 17 corrections
Enver (Murat Bardakçı): 785 sections, 20 chapters, 619 corrections
Hafız Hakkı Paşa'nın Sarıkamış Günlüğü (Hafız Hakkı Paşa): 249 sections, 5 chapters, 78 corrections
Halas (Mehmet Rauf): 277 sections, 5 chapters, 58 corrections
Hobart Paşa'nın Anıları (Augustus C. Hobart-Hampden): 335 sections, 2 chapters, 14 corrections
Irak Kralı I. Faysal (Ali A. Allawi): 808 sections, 8 chapters, 34 corrections
Kim Hain, Kim Kahraman (Video transcript): 11 sections, 0 chapters, 0 corrections
