Turkish proverbs | en=Proverb | tr=Mesrob Kuyumciyan | agree=False
Crusades | en=Crusades | tr=Dimyat Kuşatması (1249) | agree=False
Fall of Constantinople (1453) | en=Fall of Constantinople | tr=Giovanni Giustiniani | agree=False
Fatih Sultan Mehmed | en=Mehmed II | tr=II. Mehmed | agree=True
Muslims in Europe | en=Islam in Europe | tr=Lüksemburg'da İslam | agree=False
Barbaros Hayreddin | en=Hayreddin Barbarossa | tr=Barbaros Hayreddin Paşa | agree=True
Hürrem Sultan | en=Hürrem Sultan | tr=Hürrem Sultan | agree=True
Kanuni Sultan Süleyman | en=Suleiman the Magnificent | tr=I. Süleyman | agree=True
Sokullu Mehmed Paşa | en=Sokollu Mehmed Pasha | tr=None | agree=False
Yavuz Sultan Selim | en=Yavuz Sultan Selim Bridge | tr=I. Selim | agree=False
Topkapı Sarayı | en=Topkapı Palace | tr=Topkapı Sarayı | agree=True
Venedik | en=List of Altair: A Record of Battles characters | tr=Venedik | agree=False
Harem and the palace household | en=Harem | tr=Meryem-uz-Zamanî | agree=False
Siege of Vienna (1683) | en=Battle of Vienna | tr=Viyana Kuşatması (kitap) | agree=False
Treaty of Karlowitz (1699) | en=Treaty of Karlowitz | tr=XI. Giorgi | agree=False
Janissaries | en=Janissary | tr=Fitilli silah | agree=False
Evliya Çelebi | en=Evliya Çelebi | tr=Evliya Çelebi | agree=True
Köprülü family | en=Köprülü family | tr=Gika ailesi | agree=False
Kösem Sultan | en=Kösem Sultan | tr=None | agree=False
Merzifonlu Kara Mustafa Paşa | en=Kara Mustafa Pasha | tr=Merzifonlu Kara Mustafa Paşa | agree=True
Viyana | en=Bigg Boss (Tamil TV series) season 9 | tr=Viyana | agree=False
Caliphate | en=Caliphate | tr=Muktedî | agree=False
Capitulations | en=Capitulations of the Ottoman Empire | tr=Nice Kuşatması (1705) | agree=False
