# Hand-picked images per note, best first: Note<TAB>File | File | search:terms | -Unwanted file
# People: a close-up portrait, else a picture that includes the person. Events: an iconic picture.
# Factions and institutions: their symbol. Places: the place around 1873-1919, else a generic view.
# Concepts: a related picture. Used by `py tools/wiki_images.py lead` (see the Handbook, section 4.8).
Caliphate	Sultan_Abdul_Hamid_II_of_the_Ottoman_Empire.jpg | The_Sheik-ul-Islam_proclaiming_the_holy_war_in_Constantinople_-_NYT_-_December_31_1914.jpg | -First_Islamic_coins_by_caliph_Uthman-mohammad_adil_rais.jpg
Capitulations	Serveti_funun-1914-09-17-1_Kapitulasyonlarin_Kaldirilmazi.jpg | 16th_century_copy_of_the_1569_Capitulations_between_Charles_IX_and_Selim_II.jpg
Famine and epidemics	search:Mount Lebanon famine 1916 | search:famine Ottoman 1916 photograph | Bulgaristan'dan_göç_eden_Türkler_(1912).jpg | -Epidemic_typhus_Burundi.jpg
Informants and spies (jurnal system)	Yildiz_palace_1909.jpg | Punch_magazine_-_Turkey_Ltd_-_1896.jpg
Military uniforms and equipment	Battle_Sarikamis_winter_gear.png | Makinali_Tüfek.jpg | Israel_in_World_War_I_-_Ottomans_soldiers_with_machine_gun_H_OP_039.JPG | -Coat_of_arms_of_the_Ottoman_Empire_(1882–1922).svg
National economy (Milli İktisat)	search:İtibar-ı Milli Bankası | Serveti_funun-1914-09-17-1_Kapitulasyonlarin_Kaldirilmazi.jpg
Ottoman press	İkdam,_4_Kasım_1918.jpg | L'Étoile_du_Bosphore_6_janvier_1892.jpg | Akhtar_-_1294.pdf
Ottomanism	Declaration_of_the_1908_Revolution_in_Ottoman_Empire.png | Greek_lithograph_celebrating_the_Ottoman_Constitution.png | London_news_c1877_-_scanned_constantinopole(1996)-Opening_of_the_first_parlement.png
Pan-Islamism	The_Sheik-ul-Islam_proclaiming_the_holy_war_in_Constantinople_-_NYT_-_December_31_1914.jpg | search:Jamal al-Din al-Afghani | Hejaz_railway.svg | -Islam_by_country.svg
Ramadan in İstanbul	search:mahya Ramazan İstanbul | search:Ramadan Constantinople 19th century | Crescent_moon_-_Hilal.jpg | Breaking_the_Fast_(2)_(27351979537).jpg
Refugees (muhacir)	Distribution_of_clothing_to_Turkish_Refugees_at_Shumla.png | Bulgaristan'dan_göç_eden_Türkler_(1912).jpg
