Caliphate	Caliphate
Capitulations	Capitulations of the Ottoman Empire
Eastern Question	Eastern question
Famine and epidemics	Epidemic typhus
Harem and the palace household	Imperial Harem
Military uniforms and equipment	Ottoman Army (1861–1922)
Muslims in Europe	Islam in Europe
National economy (Milli İktisat)	tr:Millî İktisat
Orientalism	Orientalism
Ottoman Empire	Ottoman Empire
Ottoman press	Media of the Ottoman Empire
Ottomanism	Ottomanism
Pan-Islamism	Pan-Islamism
Philhellenism	Philhellenism
Ramadan in İstanbul	Ramadan
Refugees (muhacir)	Muhacir
Russian Empire	Russian Empire
The Sick Man of Europe	Sick man of Europe
Turkish folklore	Turkish folklore
Turkish proverbs	tr:Atasözü
Turkism and Pan-Turkism	Pan-Turkism
31 March Incident (1909)	31 March incident
Abolition of the Caliphate (1924)	Abolition of the Caliphate
Abolition of the Janissaries (1826)	Auspicious Incident
Abolition of the Sultanate (1922)	Abolition of the Ottoman sultanate
Adana events (1909)	Adana massacre
Amasya Circular (1919)	Amasya Circular
Arab Revolt (1916-1918)	Arab Revolt
Armenian deportation (1915)	Armenian genocide
Armistice of Mudanya (1922)	Armistice of Mudanya
Armistice of Mudros (1918)	Armistice of Mudros
Balkan Wars (1912-1913)	Balkan Wars
Battle of Navarino (1827)	Battle of Navarino
Battle of Poltava (1709)	Battle of Poltava
Battle of Sakarya (1921)	Battle of Sakarya
Battle of Çeşme (1770)	Battle of Chesma
Battles of İnönü (1921)	First Battle of İnönü
British occupation of Egypt (1882)	Anglo-Egyptian War
Caucasus Front	Caucasus campaign
Congress of Berlin (1878)	Congress of Berlin
Crimean War (1853-1856)	Crimean War
Crusades	Crusades
Egyptian Question (1831-1841)	Egyptian–Ottoman War (1831–1833)
Erzurum Congress (1919)	Erzurum Congress
Exile of the Ottoman dynasty (1924)	Osmanoğlu family
Fall of Constantinople (1453)	Fall of Constantinople
First Constitutional Era (1876-1878)	First Constitutional Era
First World War	World War I
Galician Front (1916-1917)	Brusilov offensive
Gallipoli Campaign (1915)	Gallipoli campaign
German military mission (1913)	-
Goeben and Breslau (1914)	Pursuit of Goeben and Breslau
Great Offensive (1922)	Great Offensive
Greco-Turkish War of 1897	Greco-Turkish War (1897)
Greek War of Independence (1821)	Greek War of Independence
Hamidian massacres and Armenian uprisings (1894-1896)	Hamidian massacres
Internal revolts (1919-1921)	Revolts during the Turkish War of Independence
Islahat Fermanı (1856)	Ottoman Reform Edict of 1856
Italo-Turkish War (1911-1912)	Italo-Turkish War
Kemalist reforms	Atatürk's reforms
Malta exiles (1919-1921)	Malta exiles
Mesopotamian Front	Mesopotamian campaign
Misak-ı Milli (1920)	Misak-ı Millî
Occupation of İstanbul (1918-1923)	Occupation of Istanbul
Occupation of İzmir (1919)	Occupation of Smyrna
Opening of the Grand National Assembly (1920)	Grand National Assembly of Turkey
Palestine and Sinai Front	Sinai and Palestine campaign
Paris Peace Conference (1919)	Paris Peace Conference (1919–1920)
Proclamation of the Republic (1923)	Republic Day (Turkey)
Prut Campaign (1711)	Pruth River campaign
Raid on the Sublime Porte (1913)	1913 Ottoman coup d'état
Russian Revolution (1917)	Russian Revolution
Russian annexation of Crimea (1783)	Annexation of the Crimean Khanate by the Russian Empire
Russo-Turkish War of 1877-1878	Russo-Turkish War (1877–1878)
Sarıkamış Operation (1914-1915)	Battle of Sarikamish
Sheikh Said rebellion (1925)	Sheikh Said rebellion
Siege of Kut (1916)	Siege of Kut
Siege of Plevne (1877)	Siege of Plevna
Siege of Vienna (1683)	Battle of Vienna
Sivas Congress (1919)	Sivas Congress
Suez Canal Campaign (1915)	Raid on the Suez Canal
Sykes-Picot Agreement (1916)	Sykes–Picot Agreement
Tanzimat	Tanzimat
Treaties of Moscow and Kars (1921)	Treaty of Moscow (1921)
Treaty of Balta Limanı (1838)	Treaty of Balta Liman
Treaty of Brest-Litovsk (1918)	Treaty of Brest-Litovsk
Treaty of Karlowitz (1699)	Treaty of Karlowitz
